"Hospital","State","Local Hospital Network (LHN)","Peer group","Interval","Time period","Patient cohort","Number of surgeries","","Median waiting time (days)",".1","Peer group median (days)",".2","Percentage who waited more than 365 days for surgery",".3","Peer group average",".4"
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2017–18","S02 Ear, nose and throat surgery","278","","315","","Not peered","","0.065","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2011–12","S03 General surgery","619","","71","","35","","0.017999999999999999","","0.017000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2012–13","S03 General surgery","698","","72","","35","","0.01","","0.016",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2013–14","S03 General surgery","701","","76","","35","","0.012999999999999999","","0.01",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2014–15","S03 General surgery","744","","71","","33","","0.0089999999999999993","","0.0060000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2015–16","S03 General surgery","712","","71","","33","","0.015","","0.0070000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2016–17","S03 General surgery","627","","77","","Not peered","","0","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2017–18","S03 General surgery","531","","87","","Not peered","","0.002","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2011–12","S04 Gynaecology","207","","61","","35","","0","","0.012",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2012–13","S04 Gynaecology","197","","62","","36","","0","","0.015",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2013–14","S04 Gynaecology","184","","70","","39","","0.033000000000000002","","0.017000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2014–15","S04 Gynaecology","220","","59","","38","","0.005","","0.0080000000000000002",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2015–16","S04 Gynaecology","210","","54","","39","","0.005","","0.012",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2016–17","S04 Gynaecology","221","","62","","Not peered","","0","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2017–18","S04 Gynaecology","239","","52","","Not peered","","0","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2011–12","S06 Ophthalmology","207","","351","","60","","0.048000000000000001","","0.031",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2012–13","S06 Ophthalmology","218","","356","","69","","0.106","","0.035",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2013–14","S06 Ophthalmology","218","","356","","73","","0.106","","0.0070000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2014–15","S06 Ophthalmology","218","","347","","79","","0.014","","0.0070000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2015–16","S06 Ophthalmology","198","","341","","76","","0.16700000000000001","","0.017000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2016–17","S06 Ophthalmology","242","","351","","Not peered","","0.041000000000000002","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2017–18","S06 Ophthalmology","307","","274","","Not peered","","0","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2011–12","S07 Orthopaedic surgery","851","","216","","68","","0.025","","0.057000000000000002",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2012–13","S07 Orthopaedic surgery","897","","232","","72","","0.025999999999999999","","0.053999999999999999",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2013–14","S07 Orthopaedic surgery","749","","272","","70","","0.097000000000000003","","0.050999999999999997",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2014–15","S07 Orthopaedic surgery","887","","238","","62","","0.075999999999999998","","0.028000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2015–16","S07 Orthopaedic surgery","822","","174","","65","","0.01","","0.039",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2016–17","S07 Orthopaedic surgery","750","","183","","Not peered","","0.0030000000000000001","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2017–18","S07 Orthopaedic surgery","819","","204","","Not peered","","0.010999999999999999","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2013–14","S08 Plastic surgery","<5","","NP","","23","","NP","","0.035999999999999997",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2014–15","S08 Plastic surgery","6","","NP","","16","","NP","","0.015",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2015–16","S08 Plastic surgery","<5","","NP","","19","","NP","","0.019",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2016–17","S08 Plastic surgery","10","","298","","Not peered","","NP","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2017–18","S08 Plastic surgery","5","","NP","","Not peered","","NP","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2011–12","S09 Urology","738","","27","","25","","0.001","","0.0080000000000000002",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2012–13","S09 Urology","764","","26","","25","","0","","0.0070000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2013–14","S09 Urology","718","","28","","25","","0","","0.0080000000000000002",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2014–15","S09 Urology","508","","28","","23","","0","","0.0030000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2015–16","S09 Urology","555","","28","","24","","0.002","","0.005",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2016–17","S09 Urology","553","","29","","Not peered","","0","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2017–18","S09 Urology","450","","25","","Not peered","","0","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2011–12","S10 Vascular surgery","56","","48","","21","","0","","0.028000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2012–13","S10 Vascular surgery","68","","12","","21","","0","","0.033000000000000002",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2013–14","S10 Vascular surgery","41","","25","","22","","NP","","0.037999999999999999",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2014–15","S10 Vascular surgery","54","","20","","22","","0","","0.048000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2015–16","S10 Vascular surgery","57","","20","","25","","0","","0.033000000000000002",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2016–17","S10 Vascular surgery","64","","27","","Not peered","","0","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2017–18","S10 Vascular surgery","54","","14","","Not peered","","0","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2011–12","S11 Other surgery","<5","","NP","","27","","NP","","0.0030000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2013–14","S11 Other surgery","<5","","NP","","23","","NP","","0.001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2014–15","S11 Other surgery","<5","","NP","","24","","NP","","0.0040000000000000001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2015–16","S11 Other surgery","7","","NP","","28","","NP","","0.001",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2016–17","S11 Other surgery","6","","NP","","Not peered","","NP","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2017–18","S11 Other surgery","5","","NP","","Not peered","","NP","","Not peered",""
"Sutherland Hospital","NSW","South Eastern Sydney","Large metropolitan hospitals","FY","2017–18","S12 Paediatric surgery","67","","92","","Not peered","","0.015","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2011–12","S01 Cardio-thoracic surgery","46","","14","","35","","NP","","0",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2012–13","S01 Cardio-thoracic surgery","41","","14","","19","","NP","","0.0070000000000000001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2013–14","S01 Cardio-thoracic surgery","29","","14","","29","","NP","","0.0080000000000000002",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2014–15","S01 Cardio-thoracic surgery","41","","23","","44","","NP","","0.025999999999999999",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2015–16","S01 Cardio-thoracic surgery","67","","16","","44","","0","","0.010999999999999999",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2016–17","S01 Cardio-thoracic surgery","52","","11","","Not peered","","0","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2017–18","S01 Cardio-thoracic surgery","32","","23","","Not peered","","NP","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2011–12","S02 Ear, nose and throat surgery","673","","150","","62","","0.064000000000000001","","0.041000000000000002",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2012–13","S02 Ear, nose and throat surgery","720","","127","","62","","0.031","","0.035999999999999997",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2013–14","S02 Ear, nose and throat surgery","604","","105","","66","","0.025","","0.045",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2014–15","S02 Ear, nose and throat surgery","626","","101","","77","","0.04","","0.048000000000000001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2015–16","S02 Ear, nose and throat surgery","697","","138","","72","","0.066000000000000003","","0.029000000000000001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2016–17","S02 Ear, nose and throat surgery","654","","140","","Not peered","","0.045999999999999999","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2017–18","S02 Ear, nose and throat surgery","756","","104","","Not peered","","0.012999999999999999","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2011–12","S03 General surgery","972","","22","","24","","0.001","","0.0040000000000000001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2012–13","S03 General surgery","961","","22","","27","","0.0030000000000000001","","0.024",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2013–14","S03 General surgery","1021","","21","","30","","0.0030000000000000001","","0.024",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2014–15","S03 General surgery","1034","","26","","29","","0.0040000000000000001","","0.021000000000000001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2015–16","S03 General surgery","1022","","20","","32","","0.015","","0.017000000000000001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2016–17","S03 General surgery","1080","","26","","Not peered","","0.01","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2017–18","S03 General surgery","38","","19","","Not peered","","NP","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2011–12","S04 Gynaecology","<5","","NP","","13","","NP","","0",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2012–13","S04 Gynaecology","<5","","NP","","7","","NP","","0",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2013–14","S04 Gynaecology","<5","","NP","","12","","NP","","0",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2015–16","S04 Gynaecology","<5","","NP","","21","","NP","","0.001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2016–17","S04 Gynaecology","9","","NP","","Not peered","","NP","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2017–18","S04 Gynaecology","5","","NP","","Not peered","","NP","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2011–12","S05 Neurosurgery","66","","10","","14","","0","","0",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2012–13","S05 Neurosurgery","87","","15","","19","","0","","0",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2013–14","S05 Neurosurgery","101","","16","","18","","0","","0.0030000000000000001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2014–15","S05 Neurosurgery","110","","16","","19","","0","","0.0070000000000000001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2015–16","S05 Neurosurgery","125","","17","","20","","0.0080000000000000002","","0.0030000000000000001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2016–17","S05 Neurosurgery","121","","16","","Not peered","","0.033000000000000002","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2017–18","S05 Neurosurgery","128","","23","","Not peered","","0","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2011–12","S06 Ophthalmology","149","","57","","48","","0.0070000000000000001","","0.024",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2012–13","S06 Ophthalmology","153","","38","","55","","0.0070000000000000001","","0.024",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2013–14","S06 Ophthalmology","178","","59","","60","","0.0060000000000000001","","0.033000000000000002",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2014–15","S06 Ophthalmology","155","","66","","54","","0.0060000000000000001","","0.017999999999999999",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2015–16","S06 Ophthalmology","128","","53","","51","","0","","0.025999999999999999",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2016–17","S06 Ophthalmology","125","","65","","Not peered","","0.064000000000000001","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2017–18","S06 Ophthalmology","133","","35","","Not peered","","0.0080000000000000002","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2011–12","S07 Orthopaedic surgery","305","","47","","45","","0.01","","0.024",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2012–13","S07 Orthopaedic surgery","299","","60","","47","","0.023","","0.03",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2013–14","S07 Orthopaedic surgery","290","","60","","48","","0.01","","0.028000000000000001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2014–15","S07 Orthopaedic surgery","349","","53","","45","","0.0089999999999999993","","0.035999999999999997",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2015–16","S07 Orthopaedic surgery","355","","57","","55","","0.014","","0.031",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2016–17","S07 Orthopaedic surgery","343","","73","","Not peered","","0.032000000000000001","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2017–18","S07 Orthopaedic surgery","382","","55","","Not peered","","0.0080000000000000002","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2011–12","S08 Plastic surgery","345","","92","","53","","0.017000000000000001","","0.062",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2012–13","S08 Plastic surgery","359","","69","","74","","0.031","","0.099000000000000005",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2013–14","S08 Plastic surgery","316","","77","","73","","0.019","","0.092999999999999999",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2014–15","S08 Plastic surgery","330","","97","","54","","0.0089999999999999993","","0.05",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2015–16","S08 Plastic surgery","320","","88","","54","","0.063","","0.047",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2016–17","S08 Plastic surgery","301","","105","","Not peered","","0.033000000000000002","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2017–18","S08 Plastic surgery","312","","85","","Not peered","","0.032000000000000001","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2011–12","S09 Urology","327","","24","","36","","0","","0.0089999999999999993",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2012–13","S09 Urology","384","","30","","39","","0.0030000000000000001","","0.021000000000000001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2013–14","S09 Urology","396","","31","","36","","0.005","","0.031",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2014–15","S09 Urology","386","","35","","35","","0","","0.015",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2015–16","S09 Urology","357","","28","","36","","0","","0.02",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2016–17","S09 Urology","346","","35","","Not peered","","0","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2017–18","S09 Urology","257","","24","","Not peered","","0","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2011–12","S11 Other surgery","109","","16","","27","","0","","0.001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2012–13","S11 Other surgery","89","","16","","31","","0","","0.0030000000000000001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2013–14","S11 Other surgery","102","","17","","30","","0","","0.005",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2014–15","S11 Other surgery","112","","11","","20","","0","","0",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2015–16","S11 Other surgery","88","","16","","20","","0","","0.001",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2016–17","S11 Other surgery","84","","9","","Not peered","","0","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2017–18","S11 Other surgery","75","","4","","Not peered","","0","","Not peered",""
"Sydney Children's Hospital","NSW","Sydney Children's Hospitals Network","Children's hospitals","FY","2017–18","S12 Paediatric surgery","973","","27","","Not peered","","0.0080000000000000002","","Not peered",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2011–12","S02 Ear, nose and throat surgery","117","","304","","95","","0.154","","0.045999999999999999",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2012–13","S02 Ear, nose and throat surgery","149","","293","","104","","0.16800000000000001","","0.035999999999999997",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2013–14","S02 Ear, nose and throat surgery","176","","290","","113","","0.21","","0.031",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2014–15","S02 Ear, nose and throat surgery","159","","287","","119","","0.037999999999999999","","0.025",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2015–16","S02 Ear, nose and throat surgery","167","","318","","99","","0","","0.0060000000000000001",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2016–17","S02 Ear, nose and throat surgery","175","","300","","Not peered","","0","","Not peered",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2017–18","S02 Ear, nose and throat surgery","136","","345","","Not peered","","0","","Not peered",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2011–12","S06 Ophthalmology","4316","","89","","78","","0.012999999999999999","","0.0070000000000000001",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2012–13","S06 Ophthalmology","4336","","91","","80","","0.012","","0.005",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2013–14","S06 Ophthalmology","4357","","83","","64","","0.021999999999999999","","0.01",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2014–15","S06 Ophthalmology","4452","","91","","63","","0.0040000000000000001","","0.002",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2015–16","S06 Ophthalmology","4029","","97","","77","","0","","0.002",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2016–17","S06 Ophthalmology","4401","","123","","Not peered","","0","","Not peered",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2017–18","S06 Ophthalmology","4587","","125","","Not peered","","0.005","","Not peered",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2011–12","S07 Orthopaedic surgery","474","","79","","97","","0.052999999999999999","","0.051999999999999998",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2012–13","S07 Orthopaedic surgery","606","","70","","87","","0.037999999999999999","","0.033000000000000002",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2013–14","S07 Orthopaedic surgery","573","","72","","81","","0.045","","0.014",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2014–15","S07 Orthopaedic surgery","604","","69","","83","","0.002","","0.017999999999999999",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2015–16","S07 Orthopaedic surgery","760","","58","","82","","0","","0.025999999999999999",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2016–17","S07 Orthopaedic surgery","735","","60","","Not peered","","0","","Not peered",""
"Sydney Hospital / Sydney Eye Hospital","NSW","South Eastern Sydney","Medium metropolitan hospitals","FY","2017–18","S07 Orthopaedic surgery","688","","58","","Not peered","","0","","Not peered",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2011–12","S02 Ear, nose and throat surgery","292","","84","","76","","0","","0.036999999999999998",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2012–13","S02 Ear, nose and throat surgery","138","","259","","79","","0.28299999999999997","","0.051999999999999998",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2013–14","S02 Ear, nose and throat surgery","157","","61","","73","","0","","0.037999999999999999",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2014–15","S02 Ear, nose and throat surgery","90","","34","","74","","0","","0.037999999999999999",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2017–18","S02 Ear, nose and throat surgery","<5","","NP","","Not peered","","NP","","Not peered",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2011–12","S03 General surgery","954","","31","","31","","0.0080000000000000002","","0.02",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2012–13","S03 General surgery","1085","","33","","30","","0.001","","0.027",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2013–14","S03 General surgery","1091","","42","","28","","0","","0.017999999999999999",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2014–15","S03 General surgery","1014","","30","","28","","0","","0.017999999999999999",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2015–16","S03 General surgery","906","","28","","29","","0","","0.014",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2016–17","S03 General surgery","1057","","28","","Not peered","","0","","Not peered",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2017–18","S03 General surgery","1135","","36","","Not peered","","0.0030000000000000001","","Not peered",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2011–12","S04 Gynaecology","433","","67","","37","","0.012","","0.014",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2012–13","S04 Gynaecology","424","","64","","36","","0.012","","0.012",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2013–14","S04 Gynaecology","449","","56","","40","","0","","0.0060000000000000001",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2014–15","S04 Gynaecology","437","","55","","42","","0","","0.012999999999999999",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2015–16","S04 Gynaecology","416","","77","","39","","0","","0.010999999999999999",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2016–17","S04 Gynaecology","438","","63","","Not peered","","0","","Not peered",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2017–18","S04 Gynaecology","512","","42","","Not peered","","0","","Not peered",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2011–12","S06 Ophthalmology","723","","296","","228","","0.14699999999999999","","0.085999999999999993",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2012–13","S06 Ophthalmology","820","","288","","230","","0.024","","0.085",""
"Tamworth Hospital","NSW","Hunter New England","Large regional hospitals","FY","2013–14","S06 Ophthalmology","864","","281","","204","","0.024","","0.092999999999999999",""
