"Hospital","State","Services"
"Lismore Hospital","NSW","Hospice care unit"
"Lismore Hospital","NSW","Intensive care unit"
"Lismore Hospital","NSW","Maintenance renal dialysis unit"
"Lismore Hospital","NSW","Obstetric services"
"Lismore Hospital","NSW","Oncology unit"
"Lismore Hospital","NSW","Paediatric service"
"Lismore Hospital","NSW","Psychiatric unit"
"Lithgow Hospital","NSW","Alcohol and drug unit"
"Lithgow Hospital","NSW","Domiciliary care unit"
"Lithgow Hospital","NSW","Emergency department"
"Lithgow Hospital","NSW","Geriatric assessment unit"
"Lithgow Hospital","NSW","Hospice care unit"
"Lithgow Hospital","NSW","Obstetric services"
"Lithgow Hospital","NSW","Paediatric service"
"Liverpool Hospital","NSW","Acute renal dialysis unit"
"Liverpool Hospital","NSW","Alcohol and drug unit"
"Liverpool Hospital","NSW","Bone marrow transplantation unit"
"Liverpool Hospital","NSW","Cardiac surgery unit"
"Liverpool Hospital","NSW","Clinical genetics unit"
"Liverpool Hospital","NSW","Coronary care unit"
"Liverpool Hospital","NSW","Diabetes unit"
"Liverpool Hospital","NSW","Domiciliary care unit"
"Liverpool Hospital","NSW","Emergency department"
"Liverpool Hospital","NSW","Geriatric assessment unit"
"Liverpool Hospital","NSW","Hospice care unit"
"Liverpool Hospital","NSW","Infectious diseases unit"
"Liverpool Hospital","NSW","Intensive care unit"
"Liverpool Hospital","NSW","Maintenance renal dialysis unit"
"Liverpool Hospital","NSW","Major plastic or reconstructive surgery unit"
"Liverpool Hospital","NSW","Neonatal intensive care unit"
"Liverpool Hospital","NSW","Neurosurgical unit"
"Liverpool Hospital","NSW","Obstetric services"
"Liverpool Hospital","NSW","Oncology unit"
"Liverpool Hospital","NSW","Paediatric service"
"Liverpool Hospital","NSW","Psychiatric unit"
"Liverpool Hospital","NSW","Rehabilitation unit"
"Liverpool Hospital","NSW","Sleep centre"
"Lockhart Hospital","NSW","Domiciliary care unit"
"Lockhart Hospital","NSW","Emergency department"
"Lockhart Hospital","NSW","Nursing home care unit"
"Long Jetty Health Care Centre","NSW","Diabetes unit"
"Long Jetty Health Care Centre","NSW","Geriatric assessment unit"
"Long Jetty Health Care Centre","NSW","Maintenance renal dialysis unit"
"Lourdes Hospital Dubbo","NSW","Geriatric assessment unit"
"Lourdes Hospital Dubbo","NSW","Hospice care unit"
"Macksville Hospital","NSW","Domiciliary care unit"
"Macksville Hospital","NSW","Emergency department"
"Macksville Hospital","NSW","Maintenance renal dialysis unit"
"Macksville Hospital","NSW","Obstetric services"
"Maclean Hospital","NSW","Emergency department"
"Maclean Hospital","NSW","Rehabilitation unit"
"Macquarie Hospital","NSW","Psychiatric unit"
"Maitland Hospital","NSW","Alcohol and drug unit"
"Maitland Hospital","NSW","Coronary care unit"
"Maitland Hospital","NSW","Domiciliary care unit"
"Maitland Hospital","NSW","Emergency department"
"Maitland Hospital","NSW","Geriatric assessment unit"
"Maitland Hospital","NSW","Hospice care unit"
"Maitland Hospital","NSW","Maintenance renal dialysis unit"
"Maitland Hospital","NSW","Obstetric services"
"Maitland Hospital","NSW","Paediatric service"
"Maitland Hospital","NSW","Psychiatric unit"
"Maitland Hospital","NSW","Rehabilitation unit"
"Manilla Hospital","NSW","Domiciliary care unit"
"Manilla Hospital","NSW","Emergency department"
"Manilla Hospital","NSW","Geriatric assessment unit"
"Manilla Hospital","NSW","Hospice care unit"
"Manilla Hospital","NSW","Nursing home care unit"
"Manilla Hospital","NSW","Obstetric services"
"Manning Hospital","NSW","Acute renal dialysis unit"
"Manning Hospital","NSW","Alcohol and drug unit"
"Manning Hospital","NSW","Coronary care unit"
"Manning Hospital","NSW","Domiciliary care unit"
"Manning Hospital","NSW","Emergency department"
"Manning Hospital","NSW","Geriatric assessment unit"
"Manning Hospital","NSW","Hospice care unit"
"Manning Hospital","NSW","Intensive care unit"
"Manning Hospital","NSW","Maintenance renal dialysis unit"
"Manning Hospital","NSW","Obstetric services"
"Manning Hospital","NSW","Oncology unit"
"Manning Hospital","NSW","Paediatric service"
"Manning Hospital","NSW","Psychiatric unit"
"Manning Hospital","NSW","Rehabilitation unit"
"Menindee Health Service","NSW","Emergency department"
"Merriwa Multi Purpose Service","NSW","Domiciliary care unit"
"Merriwa Multi Purpose Service","NSW","Emergency department"
"Merriwa Multi Purpose Service","NSW","Hospice care unit"
"Merriwa Multi Purpose Service","NSW","Nursing home care unit"
"Milton Ulladulla Hospital","NSW","Alcohol and drug unit"
"Milton Ulladulla Hospital","NSW","Domiciliary care unit"
"Milton Ulladulla Hospital","NSW","Emergency department"
"Milton Ulladulla Hospital","NSW","Geriatric assessment unit"
"Milton Ulladulla Hospital","NSW","Maintenance renal dialysis unit"
"Milton Ulladulla Hospital","NSW","Obstetric services"
"Molong Health Service","NSW","Emergency department"
"Molong Health Service","NSW","Nursing home care unit"
"Mona Vale Hospital","NSW","Geriatric assessment unit"
"Mona Vale Hospital","NSW","Rehabilitation unit"
"Moree Hospital","NSW","Alcohol and drug unit"
"Moree Hospital","NSW","Domiciliary care unit"
"Moree Hospital","NSW","Emergency department"
"Moree Hospital","NSW","Geriatric assessment unit"
"Moree Hospital","NSW","Maintenance renal dialysis unit"
"Moree Hospital","NSW","Obstetric services"
"Moree Hospital","NSW","Oncology unit"
"Morisset Hospital","NSW","Psychiatric unit"
"Moruya Hospital","NSW","Alcohol and drug unit"
"Moruya Hospital","NSW","Domiciliary care unit"
"Moruya Hospital","NSW","Emergency department"
"Moruya Hospital","NSW","Geriatric assessment unit"
"Moruya Hospital","NSW","Maintenance renal dialysis unit"
"Moruya Hospital","NSW","Obstetric services"
"Moruya Hospital","NSW","Oncology unit"
"Moruya Hospital","NSW","Rehabilitation unit"
"Mount Druitt Hospital","NSW","Emergency department"
"Mount Druitt Hospital","NSW","Paediatric service"
"Mount Druitt Hospital","NSW","Psychiatric unit"
"Mount Druitt Hospital","NSW","Rehabilitation unit"
"Mudgee Health Service","NSW","Emergency department"
"Mudgee Health Service","NSW","Maintenance renal dialysis unit"
"Mudgee Health Service","NSW","Obstetric services"
"Mudgee Health Service","NSW","Oncology unit"
"Murrumburrah-Harden Hospital","NSW","Domiciliary care unit"
"Murrumburrah-Harden Hospital","NSW","Emergency department"
"Murrumburrah-Harden Hospital","NSW","Nursing home care unit"
"Murwillumbah Hospital","NSW","Emergency department"
"Murwillumbah Hospital","NSW","Obstetric services"
"Murwillumbah Hospital","NSW","Oncology unit"
"Murwillumbah Hospital","NSW","Paediatric service"
"Murwillumbah Hospital","NSW","Rehabilitation unit"
"Muswellbrook Hospital","NSW","Domiciliary care unit"
"Muswellbrook Hospital","NSW","Emergency department"
"Muswellbrook Hospital","NSW","Hospice care unit"
"Muswellbrook Hospital","NSW","Maintenance renal dialysis unit"
"Muswellbrook Hospital","NSW","Obstetric services"
"Muswellbrook Hospital","NSW","Oncology unit"
"Narrabri Hospital","NSW","Alcohol and drug unit"
"Narrabri Hospital","NSW","Domiciliary care unit"
"Narrabri Hospital","NSW","Emergency department"
"Narrabri Hospital","NSW","Hospice care unit"
"Narrabri Hospital","NSW","Obstetric services"
"Narrandera Hospital","NSW","Domiciliary care unit"
"Narrandera Hospital","NSW","Emergency department"
"Narrandera Hospital","NSW","Rehabilitation unit"
"Narromine Health Service","NSW","Emergency department"
"Narromine Health Service","NSW","Maintenance renal dialysis unit"
"Nepean Hospital","NSW","Acute renal dialysis unit"
"Nepean Hospital","NSW","Alcohol and drug unit"
"Nepean Hospital","NSW","Clinical genetics unit"
"Nepean Hospital","NSW","Coronary care unit"
"Nepean Hospital","NSW","Diabetes unit"
"Nepean Hospital","NSW","Domiciliary care unit"
"Nepean Hospital","NSW","Emergency department"
"Nepean Hospital","NSW","Geriatric assessment unit"
"Nepean Hospital","NSW","Hospice care unit"
"Nepean Hospital","NSW","Infectious diseases unit"
"Nepean Hospital","NSW","Intensive care unit"
"Nepean Hospital","NSW","Maintenance renal dialysis unit"
"Nepean Hospital","NSW","Major plastic or reconstructive surgery unit"
"Nepean Hospital","NSW","Neonatal intensive care unit"
"Nepean Hospital","NSW","Neurosurgical unit"
"Nepean Hospital","NSW","Obstetric services"
"Nepean Hospital","NSW","Oncology unit"
"Nepean Hospital","NSW","Paediatric service"
"Nepean Hospital","NSW","Psychiatric unit"
"Nepean Hospital","NSW","Rehabilitation unit"
"Neringah Hospital","NSW","Hospice care unit"
"Nimbin Multi Purpose Service","NSW","Alcohol and drug unit"
"Nimbin Multi Purpose Service","NSW","Emergency department"
"Nimbin Multi Purpose Service","NSW","Geriatric assessment unit"
"Nimbin Multi Purpose Service","NSW","Nursing home care unit"
"Northern Beaches Hospital","NSW","Emergency department"
"Nyngan Multi Purpose Service","NSW","Emergency department"
"Nyngan Multi Purpose Service","NSW","Maintenance renal dialysis unit"
"Nyngan Multi Purpose Service","NSW","Nursing home care unit"
"Oberon Multi Purpose Service","NSW","Emergency department"
"Oberon Multi Purpose Service","NSW","Nursing home care unit"
"Orange Health Service","NSW","Acute renal dialysis unit"
"Orange Health Service","NSW","Alcohol and drug unit"
"Orange Health Service","NSW","Cardiac surgery unit"
"Orange Health Service","NSW","Coronary care unit"
"Orange Health Service","NSW","Emergency department"
"Orange Health Service","NSW","Geriatric assessment unit"
"Orange Health Service","NSW","Intensive care unit"
"Orange Health Service","NSW","Maintenance renal dialysis unit"
"Orange Health Service","NSW","Neonatal intensive care unit"
"Orange Health Service","NSW","Obstetric services"
"Orange Health Service","NSW","Oncology unit"
"Orange Health Service","NSW","Paediatric service"
"Orange Health Service","NSW","Psychiatric unit"
"Orange Health Service","NSW","Rehabilitation unit"
"Pambula Hospital","NSW","Alcohol and drug unit"
"Pambula Hospital","NSW","Domiciliary care unit"
"Peak Hill Multipurpose Service","NSW","Emergency department"
"Peak Hill Multipurpose Service","NSW","Nursing home care unit"
"Port Kembla Hospital","NSW","Alcohol and drug unit"
"Port Kembla Hospital","NSW","Domiciliary care unit"
"Port Kembla Hospital","NSW","Geriatric assessment unit"
"Port Kembla Hospital","NSW","Hospice care unit"
"Port Kembla Hospital","NSW","Rehabilitation unit"
"Port Macquarie Base Hospital","NSW","Acute renal dialysis unit"
"Port Macquarie Base Hospital","NSW","Coronary care unit"
"Port Macquarie Base Hospital","NSW","Domiciliary care unit"
"Port Macquarie Base Hospital","NSW","Emergency department"
"Port Macquarie Base Hospital","NSW","Geriatric assessment unit"
"Port Macquarie Base Hospital","NSW","Infectious diseases unit"
"Port Macquarie Base Hospital","NSW","Intensive care unit"
"Port Macquarie Base Hospital","NSW","Maintenance renal dialysis unit"
"Port Macquarie Base Hospital","NSW","Major plastic or reconstructive surgery unit"
"Port Macquarie Base Hospital","NSW","Obstetric services"
"Port Macquarie Base Hospital","NSW","Oncology unit"
"Port Macquarie Base Hospital","NSW","Paediatric service"
"Port Macquarie Base Hospital","NSW","Psychiatric unit"
"Port Macquarie Base Hospital","NSW","Rehabilitation unit"
"Portland Hospital","NSW","Domiciliary care unit"
"Portland Hospital","NSW","Nursing home care unit"
"Prince of Wales Hospital","NSW","Acute renal dialysis unit"
"Prince of Wales Hospital","NSW","Acute spinal cord injury unit"
"Prince of Wales Hospital","NSW","AIDS unit"
"Prince of Wales Hospital","NSW","Alcohol and drug unit"
"Prince of Wales Hospital","NSW","Bone marrow transplantation unit"
"Prince of Wales Hospital","NSW","Cardiac surgery unit"
"Prince of Wales Hospital","NSW","Clinical genetics unit"
"Prince of Wales Hospital","NSW","Coronary care unit"
"Prince of Wales Hospital","NSW","Diabetes unit"
"Prince of Wales Hospital","NSW","Domiciliary care unit"
"Prince of Wales Hospital","NSW","Emergency department"
"Prince of Wales Hospital","NSW","Epilepsy centre"
"Prince of Wales Hospital","NSW","Geriatric assessment unit"
"Prince of Wales Hospital","NSW","Infectious diseases unit"
"Prince of Wales Hospital","NSW","Intensive care unit"
"Prince of Wales Hospital","NSW","Maintenance renal dialysis unit"
"Prince of Wales Hospital","NSW","Major plastic or reconstructive surgery unit"
"Prince of Wales Hospital","NSW","Neurosurgical unit"
"Prince of Wales Hospital","NSW","Oncology unit"
"Prince of Wales Hospital","NSW","Psychiatric unit"
"Prince of Wales Hospital","NSW","Rehabilitation unit"
"Prince of Wales Hospital","NSW","Renal transplantation unit"
"Queanbeyan Hospital","NSW","Alcohol and drug unit"
"Queanbeyan Hospital","NSW","Domiciliary care unit"
"Queanbeyan Hospital","NSW","Emergency department"
"Queanbeyan Hospital","NSW","Geriatric assessment unit"
"Queanbeyan Hospital","NSW","Maintenance renal dialysis unit"
"Queanbeyan Hospital","NSW","Obstetric services"
"Quirindi Hospital","NSW","Domiciliary care unit"
"Quirindi Hospital","NSW","Emergency department"
"Riverlands Drug and Alcohol Centre","NSW","Alcohol and drug unit"
"Royal Hospital for Women","NSW","Domiciliary care unit"
"Royal Hospital for Women","NSW","In vitro fertilisation unit"
"Royal Hospital for Women","NSW","Neonatal intensive care unit"
"Royal Hospital for Women","NSW","Obstetric services"
"Royal Hospital for Women","NSW","Oncology unit"
"Royal Hospital for Women","NSW","Paediatric service"
"Royal North Shore Hospital","NSW","Acute renal dialysis unit"
"Royal North Shore Hospital","NSW","Acute spinal cord injury unit"
"Royal North Shore Hospital","NSW","AIDS unit"
"Royal North Shore Hospital","NSW","Alcohol and drug unit"
"Royal North Shore Hospital","NSW","Bone marrow transplantation unit"
"Royal North Shore Hospital","NSW","Burns unit"
"Royal North Shore Hospital","NSW","Cardiac surgery unit"
"Royal North Shore Hospital","NSW","Clinical genetics unit"
"Royal North Shore Hospital","NSW","Coronary care unit"
"Royal North Shore Hospital","NSW","Diabetes unit"
"Royal North Shore Hospital","NSW","Domiciliary care unit"
"Royal North Shore Hospital","NSW","Emergency department"
"Royal North Shore Hospital","NSW","Geriatric assessment unit"
"Royal North Shore Hospital","NSW","Infectious diseases unit"
"Royal North Shore Hospital","NSW","Intensive care unit"
"Royal North Shore Hospital","NSW","Maintenance renal dialysis unit"
"Royal North Shore Hospital","NSW","Major plastic or reconstructive surgery unit"
"Royal North Shore Hospital","NSW","Neonatal intensive care unit"
"Royal North Shore Hospital","NSW","Neurosurgical unit"
"Royal North Shore Hospital","NSW","Obstetric services"
"Royal North Shore Hospital","NSW","Oncology unit"
"Royal North Shore Hospital","NSW","Paediatric service"
"Royal North Shore Hospital","NSW","Psychiatric unit"
"Royal North Shore Hospital","NSW","Renal transplantation unit"
"Royal North Shore Hospital","NSW","Sleep centre"
"Royal Prince Alfred Hospital","NSW","Acute renal dialysis unit"
"Royal Prince Alfred Hospital","NSW","AIDS unit"
"Royal Prince Alfred Hospital","NSW","Alcohol and drug unit"
"Royal Prince Alfred Hospital","NSW","Bone marrow transplantation unit"
"Royal Prince Alfred Hospital","NSW","Cardiac surgery unit"
"Royal Prince Alfred Hospital","NSW","Clinical genetics unit"
"Royal Prince Alfred Hospital","NSW","Coronary care unit"
"Royal Prince Alfred Hospital","NSW","Diabetes unit"
"Royal Prince Alfred Hospital","NSW","Emergency department"
"Royal Prince Alfred Hospital","NSW","Epilepsy centre"
"Royal Prince Alfred Hospital","NSW","Geriatric assessment unit"
"Royal Prince Alfred Hospital","NSW","In vitro fertilisation unit"
"Royal Prince Alfred Hospital","NSW","Infectious diseases unit"
"Royal Prince Alfred Hospital","NSW","Intensive care unit"
"Royal Prince Alfred Hospital","NSW","Liver transplantation unit"
"Royal Prince Alfred Hospital","NSW","Maintenance renal dialysis unit"
"Royal Prince Alfred Hospital","NSW","Major plastic or reconstructive surgery unit"
"Royal Prince Alfred Hospital","NSW","Neonatal intensive care unit"
"Royal Prince Alfred Hospital","NSW","Neurosurgical unit"
"Royal Prince Alfred Hospital","NSW","Obstetric services"
"Royal Prince Alfred Hospital","NSW","Oncology unit"
"Royal Prince Alfred Hospital","NSW","Paediatric service"
"Royal Prince Alfred Hospital","NSW","Psychiatric unit"
"Royal Prince Alfred Hospital","NSW","Renal transplantation unit"
"Royal Prince Alfred Hospital","NSW","Sleep centre"
"Royal Rehabilitation Hospital","NSW","Rehabilitation unit"
"Ryde Hospital","NSW","Coronary care unit"
"Ryde Hospital","NSW","Domiciliary care unit"
"Ryde Hospital","NSW","Emergency department"
"Ryde Hospital","NSW","Geriatric assessment unit"
"Ryde Hospital","NSW","Intensive care unit"
"Ryde Hospital","NSW","Obstetric services"
"Ryde Hospital","NSW","Rehabilitation unit"
"Rylstone Multi Purpose Service","NSW","Emergency department"
"Rylstone Multi Purpose Service","NSW","Nursing home care unit"
"Sacred Heart Hospice","NSW","Domiciliary care unit"
"Sacred Heart Hospice","NSW","Hospice care unit"
"Sacred Heart Hospice","NSW","Rehabilitation unit"
"Scone Hospital","NSW","Emergency department"
"Scone Hospital","NSW","Hospice care unit"
"Scone Hospital","NSW","Obstetric services"
"Shellharbour Hospital","NSW","Acute renal dialysis unit"
"Shellharbour Hospital","NSW","Alcohol and drug unit"
"Shellharbour Hospital","NSW","Domiciliary care unit"
"Shellharbour Hospital","NSW","Emergency department"
"Shellharbour Hospital","NSW","Geriatric assessment unit"
"Shellharbour Hospital","NSW","Maintenance renal dialysis unit"
"Shellharbour Hospital","NSW","Major plastic or reconstructive surgery unit"
"Shellharbour Hospital","NSW","Psychiatric unit"
"Shoalhaven Hospital","NSW","Acute renal dialysis unit"
"Shoalhaven Hospital","NSW","Alcohol and drug unit"
"Shoalhaven Hospital","NSW","Coronary care unit"
"Shoalhaven Hospital","NSW","Diabetes unit"
"Shoalhaven Hospital","NSW","Domiciliary care unit"
"Shoalhaven Hospital","NSW","Emergency department"
"Shoalhaven Hospital","NSW","Geriatric assessment unit"
"Shoalhaven Hospital","NSW","Intensive care unit"
"Shoalhaven Hospital","NSW","Maintenance renal dialysis unit"
"Shoalhaven Hospital","NSW","Obstetric services"
"Shoalhaven Hospital","NSW","Oncology unit"
"Shoalhaven Hospital","NSW","Paediatric service"
"Shoalhaven Hospital","NSW","Psychiatric unit"
"Shoalhaven Hospital","NSW","Rehabilitation unit"
"Singleton Hospital","NSW","Emergency department"
"Singleton Hospital","NSW","Hospice care unit"
"Singleton Hospital","NSW","Maintenance renal dialysis unit"
"Singleton Hospital","NSW","Obstetric services"
"South East Regional Hospital","NSW","Alcohol and drug unit"
"South East Regional Hospital","NSW","Coronary care unit"
"South East Regional Hospital","NSW","Domiciliary care unit"
"South East Regional Hospital","NSW","Emergency department"
"South East Regional Hospital","NSW","Geriatric assessment unit"
"South East Regional Hospital","NSW","Intensive care unit"
"South East Regional Hospital","NSW","Maintenance renal dialysis unit"
"South East Regional Hospital","NSW","Obstetric services"
"South East Regional Hospital","NSW","Oncology unit"
"South East Regional Hospital","NSW","Paediatric service"
"South East Regional Hospital","NSW","Psychiatric unit"
"Springwood Hospital","NSW","Domiciliary care unit"
"Springwood Hospital","NSW","Hospice care unit"
"Springwood Hospital","NSW","Rehabilitation unit"
"St George Hospital NSW","NSW","Acute renal dialysis unit"
"St George Hospital NSW","NSW","AIDS unit"
"St George Hospital NSW","NSW","Alcohol and drug unit"
"St George Hospital NSW","NSW","Cardiac surgery unit"
"St George Hospital NSW","NSW","Clinical genetics unit"
"St George Hospital NSW","NSW","Coronary care unit"
"St George Hospital NSW","NSW","Diabetes unit"
"St George Hospital NSW","NSW","Domiciliary care unit"
"St George Hospital NSW","NSW","Emergency department"
"St George Hospital NSW","NSW","Geriatric assessment unit"
"St George Hospital NSW","NSW","Infectious diseases unit"
"St George Hospital NSW","NSW","Intensive care unit"
"St George Hospital NSW","NSW","Maintenance renal dialysis unit"
"St George Hospital NSW","NSW","Major plastic or reconstructive surgery unit"
"St George Hospital NSW","NSW","Neurosurgical unit"
"St George Hospital NSW","NSW","Obstetric services"
"St George Hospital NSW","NSW","Oncology unit"
"St George Hospital NSW","NSW","Paediatric service"
"St George Hospital NSW","NSW","Psychiatric unit"
"St George Hospital NSW","NSW","Rehabilitation unit"
"St George Hospital NSW","NSW","Sleep centre"
"St Joseph's Hospital","NSW","Geriatric assessment unit"
"St Joseph's Hospital","NSW","Hospice care unit"
"St Joseph's Hospital","NSW","Psychiatric unit"
"St Joseph's Hospital","NSW","Rehabilitation unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Acute renal dialysis unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","AIDS unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Alcohol and drug unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Bone marrow transplantation unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Cardiac surgery unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Clinical genetics unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Coronary care unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Diabetes unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Emergency department"
"St Vincent’s Hospital [Darlinghurst]","NSW","Epilepsy centre"
"St Vincent’s Hospital [Darlinghurst]","NSW","Geriatric assessment unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Heart transplantation unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Infectious diseases unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Intensive care unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Maintenance renal dialysis unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Major plastic or reconstructive surgery unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Neurosurgical unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Oncology unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Psychiatric unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Rehabilitation unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Renal transplantation unit"
"St Vincent’s Hospital [Darlinghurst]","NSW","Sleep centre"
"Sutherland Hospital","NSW","Acute renal dialysis unit"
"Sutherland Hospital","NSW","Alcohol and drug unit"
"Sutherland Hospital","NSW","Coronary care unit"
"Sutherland Hospital","NSW","Diabetes unit"
"Sutherland Hospital","NSW","Domiciliary care unit"
"Sutherland Hospital","NSW","Emergency department"
"Sutherland Hospital","NSW","Geriatric assessment unit"
"Sutherland Hospital","NSW","Infectious diseases unit"
"Sutherland Hospital","NSW","Intensive care unit"
"Sutherland Hospital","NSW","Maintenance renal dialysis unit"
"Sutherland Hospital","NSW","Obstetric services"
"Sutherland Hospital","NSW","Oncology unit"
"Sutherland Hospital","NSW","Paediatric service"
"Sutherland Hospital","NSW","Psychiatric unit"
"Sutherland Hospital","NSW","Rehabilitation unit"
"Sutherland Hospital","NSW","Sleep centre"
"Sydney Children's Hospital","NSW","Acute renal dialysis unit"
"Sydney Children's Hospital","NSW","AIDS unit"
"Sydney Children's Hospital","NSW","Bone marrow transplantation unit"
"Sydney Children's Hospital","NSW","Cardiac surgery unit"
"Sydney Children's Hospital","NSW","Clinical genetics unit"
"Sydney Children's Hospital","NSW","Diabetes unit"
"Sydney Children's Hospital","NSW","Emergency department"
"Sydney Children's Hospital","NSW","Epilepsy centre"
"Sydney Children's Hospital","NSW","Hospice care unit"
"Sydney Children's Hospital","NSW","Infectious diseases unit"
"Sydney Children's Hospital","NSW","Intensive care unit"
"Sydney Children's Hospital","NSW","Maintenance renal dialysis unit"
"Sydney Children's Hospital","NSW","Major plastic or reconstructive surgery unit"
"Sydney Children's Hospital","NSW","Neonatal intensive care unit"
"Sydney Children's Hospital","NSW","Neurosurgical unit"
"Sydney Children's Hospital","NSW","Oncology unit"
"Sydney Children's Hospital","NSW","Paediatric service"
"Sydney Children's Hospital","NSW","Psychiatric unit"
"Sydney Children's Hospital","NSW","Rehabilitation unit"
"Sydney Children's Hospital","NSW","Renal transplantation unit"
"Sydney Children's Hospital","NSW","Sleep centre"
"Sydney Hospital / Sydney Eye Hospital","NSW","Alcohol and drug unit"
"Sydney Hospital / Sydney Eye Hospital","NSW","Emergency department"
"Sydney Hospital / Sydney Eye Hospital","NSW","Major plastic or reconstructive surgery unit"
"Tamworth Hospital","NSW","Acute renal dialysis unit"
"Tamworth Hospital","NSW","Alcohol and drug unit"
"Tamworth Hospital","NSW","Cardiac surgery unit"
"Tamworth Hospital","NSW","Coronary care unit"
"Tamworth Hospital","NSW","Domiciliary care unit"
"Tamworth Hospital","NSW","Emergency department"
"Tamworth Hospital","NSW","Geriatric assessment unit"
"Tamworth Hospital","NSW","Hospice care unit"
"Tamworth Hospital","NSW","Intensive care unit"
"Tamworth Hospital","NSW","Maintenance renal dialysis unit"
"Tamworth Hospital","NSW","Obstetric services"
"Tamworth Hospital","NSW","Oncology unit"
"Tamworth Hospital","NSW","Paediatric service"
"Tamworth Hospital","NSW","Psychiatric unit"
"Tamworth Hospital","NSW","Rehabilitation unit"
"Temora Hospital","NSW","Alcohol and drug unit"
"Temora Hospital","NSW","Domiciliary care unit"
"Temora Hospital","NSW","Emergency department"
"Temora Hospital","NSW","Obstetric services"
"Temora Hospital","NSW","Rehabilitation unit"
"Tenterfield Hospital","NSW","Alcohol and drug unit"
"Tenterfield Hospital","NSW","Domiciliary care unit"
"Tenterfield Hospital","NSW","Emergency department"
"Tenterfield Hospital","NSW","Geriatric assessment unit"
"The Children's Hospital at Westmead","NSW","Acute renal dialysis unit"
"The Children's Hospital at Westmead","NSW","Bone marrow transplantation unit"
"The Children's Hospital at Westmead","NSW","Burns unit"
"The Children's Hospital at Westmead","NSW","Cardiac surgery unit"
"The Children's Hospital at Westmead","NSW","Clinical genetics unit"
"The Children's Hospital at Westmead","NSW","Diabetes unit"
"The Children's Hospital at Westmead","NSW","Emergency department"
"The Children's Hospital at Westmead","NSW","Epilepsy centre"
"The Children's Hospital at Westmead","NSW","Hospice care unit"
"The Children's Hospital at Westmead","NSW","Infectious diseases unit"
"The Children's Hospital at Westmead","NSW","Intensive care unit"
"The Children's Hospital at Westmead","NSW","Liver transplantation unit"
"The Children's Hospital at Westmead","NSW","Maintenance renal dialysis unit"
"The Children's Hospital at Westmead","NSW","Major plastic or reconstructive surgery unit"
"The Children's Hospital at Westmead","NSW","Neonatal intensive care unit"
"The Children's Hospital at Westmead","NSW","Neurosurgical unit"
"The Children's Hospital at Westmead","NSW","Oncology unit"
"The Children's Hospital at Westmead","NSW","Paediatric service"
"The Children's Hospital at Westmead","NSW","Psychiatric unit"
"The Children's Hospital at Westmead","NSW","Rehabilitation unit"
"The Children's Hospital at Westmead","NSW","Renal transplantation unit"
"The Children's Hospital at Westmead","NSW","Sleep centre"
"The Tweed Hospital","NSW","Acute renal dialysis unit"
"The Tweed Hospital","NSW","Alcohol and drug unit"
"The Tweed Hospital","NSW","Coronary care unit"
"The Tweed Hospital","NSW","Emergency department"
"The Tweed Hospital","NSW","Geriatric assessment unit"
"The Tweed Hospital","NSW","Hospice care unit"
"The Tweed Hospital","NSW","Intensive care unit"
"The Tweed Hospital","NSW","Maintenance renal dialysis unit"
"The Tweed Hospital","NSW","Obstetric services"
"The Tweed Hospital","NSW","Oncology unit"
"The Tweed Hospital","NSW","Paediatric service"
"The Tweed Hospital","NSW","Psychiatric unit"
"Thomas Walker Hospital","NSW","Psychiatric unit"
"Tibooburra Hospital","NSW","Emergency department"
"Tingha Multi Purpose Service","NSW","Emergency department"
"Tingha Multi Purpose Service","NSW","Nursing home care unit"
"Tocumwal Hospital","NSW","Domiciliary care unit"
"Tocumwal Hospital","NSW","Emergency department"
"Tocumwal Hospital","NSW","Nursing home care unit"
"Tomaree Hospital","NSW","Emergency department"
"Tomaree Hospital","NSW","Geriatric assessment unit"
"Tottenham Multipurpose Service","NSW","Emergency department"
"Tottenham Multipurpose Service","NSW","Nursing home care unit"
"Trangie Multi Purpose Service","NSW","Emergency department"
"Trangie Multi Purpose Service","NSW","Nursing home care unit"
"Trundle Multi Purpose Health Service","NSW","Emergency department"
"Trundle Multi Purpose Health Service","NSW","Nursing home care unit"
