"Hospital name","Phone number","Street address","Suburb","Postcode","State","Local Hospital Network (LHN)","Primary Health Network area (PHN)","Website","Description","Sector","Beds","Latitude","Longitude"
"Edenhope and District Memorial Hospital","03 5585 9800","128-134 Elizabeth Street","Edenhope","3318","Vic","Edenhope and District Memorial Hospital","Western Victoria","www.edmh.org.au","Regional hospital","Public","<50","-37.035322999999998","141.28882899999999"
"Eidsvold Hospital","07 4165 7100","Cracow Road","Eidsvold","4627","Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-eidsvold.asp","Regional hospital","Public","<50","-25.382639000000001","151.125494"
"Ellen Barron Family Centre","07 3139 6500","Hamilton Road","Chermside","4032","Qld","Children's Health Queensland","Brisbane North","www.health.qld.gov.au/ellenbarronfamilycentre","Early parenting centre","Public","<50","-27.385905000000001","153.02515199999999"
"Elliston Hospital","08 8687 9001","6 Memorial Terrace","Elliston","5670","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/ellistonhospital","Regional hospital","Public","<50","-33.647911999999998","134.89244299999999"
"Emerald Hospital","07 4987 9400","69 Hospital Road","Emerald","4720","Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/emerald.asp","Small hospital","Public","<50","-23.514825999999999","148.154989"
"Epping Surgery Centre","02 9868 6555","Suite 3, Oxford Place, 44-46 Oxford Street","Epping","2121","NSW","","","www.eesc.com.au","","Private","<50","-33.771132000000001","151.083676"
"Epworth Cliveden","03 9419 7122","29 Simpson Street","East Melbourne","3002","Vic","","","www.epworth.org.au/Our-Hospitals/Pages/Epworth-Cliveden.aspx","","Private","<50","-37.815662000000003","144.98754700000001"
"Epworth Eastern","03 8807 7100","1 Arnold Street","Box Hill","3128","Vic","","","www.epworth.org.au/Our-Hospitals/Pages/Epworth-Eastern.aspx","","Private","200-500","-37.814678000000001","145.11936800000001"
"Epworth Freemasons [Clarendon Street]","03 9483 3833","166 Clarendon Street","East Melbourne","3002","Vic","","","www.epworth.org.au/Our-Hospitals/Pages/Epworth-Freemasons.aspx","","Private","100-199","-37.810693999999998","144.98410699999999"
"Epworth Freemasons [Victoria Parade]","03 9418 8188","320 Victoria Parade","East Melbourne","3002","Vic","","","www.epworth.org.au/Our-Hospitals/Pages/Epworth-Freemasons.aspx","","Private","50-99","-37.809283999999998","144.98212000000001"
"Epworth Geelong","03 5271 7777","1 Epworth Place","Waurn Ponds","3216","Vic","","","www.epworthgeelong.org.au","","Private","100-199","-38.193882000000002","144.30247199999999"
"Epworth Hawthorn","03 9415 5777","50 Burwood Road","Hawthorn","3122","Vic","","","www.epworth.org.au","","Private","<50","-37.821229000000002","145.023405"
"Epworth Rehabilitation Brighton","03 9591 9200","85 Wilson Street","Brighton","3186","Vic","","","https://www.epworth.org.au/Our-Hospitals/Epworth-Brighton/Pages/Overview.aspx","","Private","50-99","-37.913688999999998","145.002815"
"Epworth Rehabilitation Camberwell","03 9809 2444","888 Toorak Road","Camberwell","3124","Vic","","","www.epworth.org.au/Our-Hospitals/Epworth-Camberwell/Pages/Overview.aspx","","Private","50-99","-37.846223000000002","145.054689"
"Epworth Rehabilitation Richmond","03 9426 6666","89 Bridge Road","Richmond","3121","Vic","","","www.epworth.org.au/Our-Hospitals/Epworth-Richmond/Pages/Overview.aspx","","Private","50-99","-37.817419000000001","144.993503"
"Epworth Richmond","03 9426 6666","89 Bridge Road","Richmond","3121","Vic","","","www.epworth.org.au/Our-Hospitals/Pages/Epworth-Richmond.aspx","","Private","200-500","-37.817433000000001","144.99302900000001"
"Esk Hospital","07 5424 4600","30 Highland Street","Esk","4312","Qld","West Moreton","Darling Downs and West Moreton","www.health.qld.gov.au/services/westmoreton/esk-hs.asp","Regional hospital","Public","<50","-27.240397999999999","152.41817900000001"
"Esperance Hospital","08 9071 0888","Hicks Street","Esperance","6450","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=55","Small hospital","Public","<50","-33.856188000000003","121.892205"
"Esperance Multi Purpose Centre","03 6298 9200","Chapman Avenue","Dover","7117","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/esperance_multi_purpose_centre","Regional hospital","Public","<50","-43.314748999999999","147.016209"
"Essendon Private Hospital","03 9337 9577","35 Rosehill Road","West Essendon","3040","Vic","","","http://essendonprivate.com.au","","Private","<50","-37.748596999999997","144.885403"
"Eudunda Hospital","08 8566 2007","40 Ward Street","Eudunda","5374","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/eudundahospital","Regional hospital","Public","<50","-34.175482000000002","139.090586"
"Eugowra Multipurpose Service","02 6850 4000","Cooper Street","Eugowra","2806","NSW","Western NSW","Western NSW","","Regional hospital","Public","<50","-33.424421000000002","148.36679899999999"
"Exmouth Hospital","08 9949 3666","Lyon Street","Exmouth","6707","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=57","Regional hospital","Public","<50","-21.928276","114.119882"
"Eye-Tech Day Surgeries","07 3831 4244","Level 5, St Andrews Place, 33 North Street","Spring Hill","4000","Qld","","","http://www.curagroup.com.au/eye-tech-day-surgeries-spring-hill","","Private","","-27.461026","153.02189799999999"
"Eye-Tech Day Surgeries Southside","07 3420 2666","22-26 Sanders Street","Upper Mt Gravatt","4122","Qld","","","http://www.curagroup.com.au/eye-tech-day-surgeries-southside","","Private","","-27.557642000000001","153.082042"
"Fairfield Hospital","02 9616 8111","Corner of Polding Street and Prairie Vale Road","Prairiewood","2176","NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/fairfield/","Medium metropolitan hospital with an emergency department","Public","200-500","-33.860117000000002","150.90433899999999"
"Figtree Private Hospital","02 4255 5000","1 Suttor Place","Figtree","2525","NSW","","","www.figtreeprivate.com.au","","Private","100-199","-34.440199","150.851024"
"Finley Hospital","03 5883 1133","20-22 Dawe Avenue","Finley","2713","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-35.641725000000001","145.568139"
"Fiona Stanley Hospital","08 6152 2222","11 Robin Warren Drive","Murdoch","6150","WA","South Metropolitan Health Service (WA)","Perth South","http://www.fsh.health.wa.gov.au/","Major hospital with an emergency department","Public",">500","-32.070120000000003","115.846909"
"Fitzroy Crossing Hospital","08 9166 1777","Fallon Road","Fitzroy Crossing","6765","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=58","Regional hospital","Public","<50","-18.191438999999999","125.562765"
"Flinders Island Multi Purpose Centre","03 6359 2122","James Street","Whitemark","7255","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/flinders_island_multi-purpose_centre","Regional hospital","Public","<50","-40.121172999999999","148.01705899999999"
"Flinders Medical Centre","08 8204 5511","Flinders Drive","Bedford Park","5042","SA","Southern Adelaide","Adelaide","www.flinders.sa.gov.au","Major hospital with an emergency department","Public",">500","-35.022229000000003","138.56943899999999"
"Flinders Private Hospital","08 8275 3333","1 Flinders Drive","Bedford Park","5042","SA","","","www.flindersprivatehospital.org.au","","Private","100-199","-35.020629","138.56808899999999"
"Forster Private Hospital","02 6555 1333","15 South Street","Forster","2428","NSW","","","http://forsterprivate.com.au/","","Private","50-99","-32.188561","152.51407900000001"
"Frances Perry House","03 9344 5000","Levels 6 and 7, Corner of Grattan Street and Flemington Road","Parkville","3052","Vic","","","www.francesperryhouse.com.au","","Private","100-199","-37.798757999999999","144.95513500000001"
"Frankston Hospital","03 9784 7777","2 Hastings Road","Frankston","3199","Vic","Peninsula Health (Vic)","South Eastern Melbourne","","Large metropolitan hospital with an emergency department","Public","200-500","-38.150790999999998","145.12842800000001"
"Frankston Private Hospital","03 8796 1300","24-28 Frankston Flinders Road","Frankston","3199","Vic","","","http://frankstonprivatehospital.com.au","","Private","50-99","-38.154662000000002","145.132902"
"Fremantle Hospital","08 9431 3333","Alma Street","Fremantle","6160","WA","South Metropolitan Health Service (WA)","Perth South","www.fhhs.health.wa.gov.au","Large metropolitan hospital","Public","200-500","-32.058262999999997","115.751448"
"Friendly Society Private Hospital","07 4331 1000","19-23 Bingera Street","Bundaberg","4670","Qld","","","https://thefriendlies.org.au","","Private","100-199","-24.870830999999999","152.34289999999999"
"Fullarton Private Hospital","08 8272 0233","293-295 Fullarton Road","Parkside","5063","SA","","","www.fullartonprivate.com.au/","","Private","<50","-34.949264999999997","138.624852"
"Gatton Hospital","07 5468 4188","97-103 William Street","Gatton","4343","Qld","West Moreton","Darling Downs and West Moreton","www.health.qld.gov.au/services/westmoreton/gatton-hs.asp","Regional hospital","Public","<50","-27.566777999999999","152.27626900000001"
"Gawler Health Service","08 8521 2000","21 Hutchinson Road","Gawler East","5118","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/gawlerhospital","Small hospital with an emergency department","Public","50-99","-34.593743000000003","138.755044"
"Gayndah Hospital","07 4161 3500","69 Warton Street","Gayndah","4625","Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-gayndah.asp","Regional hospital","Public","<50","-25.631384000000001","151.60453100000001"
"George Town Hospital and Community Health Centre","03 6702 6020","47 Anne Street","George Town","7253","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/george_town_district_hospital_and_community_health_centre","Regional hospital","Public","<50","-41.103782000000002","146.82114899999999"
"Geraldton Hospital","08 9956 2222","51-85 Shenton Street","Geraldton","6530","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=64","Medium regional hospital with an emergency department","Public","100-199","-28.782807999999999","114.610844"
"Gilgandra Multi Purpose Service","02 6880 5900","6 Chelmsford Avenue","Gilgandra","2827","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-31.704564999999999","148.66488899999999"
"Gin Gin Hospital","07 4157 2222","5 King Street","Gin Gin","4671","Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-gingin.asp","Regional hospital","Public","<50","-24.985707000000001","151.95344900000001"
"Gippsland Southern Health Service - Korumburra","03 5654 2777","69-75 Bridge Street","Korumburra","3950","Vic","Gippsland Southern Health Service","Gippsland","www.gshs.com.au","Small hospital","Public","<50","-38.430328000000003","145.828249"
"Gippsland Southern Health Service - Leongatha","03 5667 5555","66 Koonawarra Road","Leongatha","3953","Vic","Gippsland Southern Health Service","Gippsland","www.gshs.com.au","Small hospital","Public","<50","-38.487170999999996","145.950343"
"Gladstone Hospital","07 4976 3200","Park Street","Gladstone","4680","Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/gladstone.asp","Medium regional hospital with an emergency department","Public","50-99","-23.850653999999999","151.24853200000001"
"Glen Eira Day Surgery","03 9595 6600","544 Hawthorn Road","Caulfield South","3162","Vic","","","www.caulfieldendoscopy.com.au","","Private","<50","-37.900376999999999","145.01926499999999"
"Glen Innes Hospital","02 6739 0200","94 Taylor Street","Glen Innes","2370","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","<50","-29.733293","151.731673"
"Glenelg Community Hospital Inc","08 8294 5555","5 Farrell Street","Glenelg South","5045","SA","","","www.glenelghosp.com.au","","Private","<50","-34.990189000000001","138.51232099999999"
"Glenferrie Private Hospital","03 9009 3800","29 Hilda Crescent","Hawthorn","3122","Vic","","","","","Private","<50","-37.819459000000002","145.031544"
"Glengarry Private Hospital","08 9447 0111","53 Arnisdale Road","Duncraig","6023","WA","","","www.glengarryprivate.com.au","","Private","100-199","-31.834253","115.784826"
"Glenside Health Services","08 7087 1000","226 Fullarton Road","Glenside","5065","SA","Central Adelaide","Adelaide","www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/mental+health+services","Specialist psychiatric hospital","Public","100-199","-34.943429000000002","138.627714"
"Gloucester Hospital","02 6538 5000","166-182 Church Street","Gloucester","2422","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","50-99","-32.014786999999998","151.95855599999999"
"Gnowangerup Hospital","08 9827 2222","Yougenup Road","Gnowangerup","6335","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=68","Regional hospital","Public","<50","-33.930469000000002","118.002927"
"Gold Coast Private Hospital","07 5530 0300","14 Hill Street","Southport","4215","Qld","","","www.goldcoastprivate.com.au","","Private","200-500","-27.962084000000001","153.38511199999999"
"Gold Coast University Hospital","07 5687 0000","1 Hospital Boulevard","Southport","4215","Qld","Gold Coast","Gold Coast","www.health.qld.gov.au/goldcoasthealth","Major hospital with an emergency department","Public",">500","-27.958895999999999","153.38117299999999"
"Golf Links Road Rehabilitation Centre","03 9783 7277","125 Golf Links Road","Frankston","3199","Vic","Peninsula Health (Vic)","South Eastern Melbourne","www.peninsulahealth.org.au/locations/golf-links-road-rehabilitation-centre/","Metropolitan hospital","Public","50-99","-38.173447000000003","145.14976899999999"
"Goodooga Health Service","02 6820 6200","49 Hammond Street","Goodooga","2831","NSW","Western NSW","Western NSW","","Regional hospital","Public","<50","-29.110249","147.45611400000001"
"Goomalling Hospital","08 9629 0100","Forrest Street","Goomalling","6460","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=70","Regional hospital","Public","<50","-31.303927999999999","116.831102"
"Goondiwindi Hospital","07 4578 2400","Bowen Street","Goondiwindi","4390","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-goondiwind-hs.asp","Small hospital","Public","<50","-28.547951000000001","150.302302"
"Gordonvale Hospital","07 4043 3100","1-11 Highleigh Road","Gordonvale","4865","Qld","Cairns and Hinterland","Northern Queensland","www.health.qld.gov.au/services/cairns-hinterland/cairns_gord_hosp.asp","Regional hospital","Public","<50","-17.087337000000002","145.786159"
"Gosford Hospital","02 4320 2111","76 Holden Street","Gosford","2250","NSW","Central Coast","Hunter New England and Central Coast","www.cclhd.health.nsw.gov.au/","Large metropolitan hospital with an emergency department","Public","200-500","-33.419451000000002","151.340328"
"Goulburn Hospital","02 4827 3111","130 Goldsmith Street","Goulburn","2580","NSW","Southern NSW","South Eastern NSW","","Medium regional hospital with an emergency department","Public","100-199","-34.747526999999998","149.712806"
"Goulburn Valley Health [Shepparton]","03 5832 2322","2 Graham Street","Shepparton","3630","Vic","Goulburn Valley Health","Murray","","Large regional hospital with an emergency department","Public","200-500","-36.363624999999999","145.404911"
"Goulburn Valley Health [Tatura]","03 5824 8400","64-68 Park Street","Tatura","3616","Vic","Goulburn Valley Health","Murray","","Regional hospital","Public","<50","-36.439081999999999","145.22553500000001"
"Goulburn Valley Health [Waranga]","03 5851 8050","14 Coyle Street","Rushworth","3612","Vic","Goulburn Valley Health","Murray","www.gvhealth.org.au","Regional hospital","Public","<50","-36.587826999999997","145.00859299999999"
"Gove Hospital","08 8987 0211","80 Matthew Flinders Way","Nhulunbuy","0880","NT","Top End (NT)","Northern Territory","https://nt.gov.au/wellbeing/hospitals-health-services/gove-district-hospital","Small hospital with an emergency department","Public","<50","-12.186019999999999","136.777874"
"Gower Wilson Multi Purpose Service","02 6563 2000","Lagoon Road","Lord Howe Island","2898","NSW","South Eastern Sydney","Central and Eastern Sydney","www.seslhd.health.nsw.gov.au/Health_Services/LordHoweIsland.asp","Regional hospital","Public","<50","-31.535602999999998","159.07130699999999"
"Grafton Base Hospital","02 6640 2222","174 Arthur Street","Grafton","2460","NSW","Northern NSW","North Coast","","Medium regional hospital with an emergency department","Public","50-99","-29.674807000000001","152.94127399999999"
"Graylands Selby-Lemnos and Special Care Health Service","08 9347 6600","Brockway Road","Mount Claremont","6010","WA","North Metropolitan Health Service (WA)","Perth North","www.health.wa.gov.au/services/detail.cfm?Unit_ID=72","Specialist psychiatric hospital","Public","100-199","-31.961447","115.79085499999999"
"Greenslopes Day Surgery","1800 802 562","687 Logan Road","Greenslopes","4120","Qld","","","www.gsds.com.au","","Private","<50","-27.510138999999999","153.05288899999999"
"Greenslopes Private Hospital","07 3394 7111","Newdegate Street","Greenslopes","4120","Qld","","","www.greenslopesprivate.com.au","","Private",">500","-27.513051999999998","153.046942"
"Greenwich Hospital","02 9903 8333","97-115 River Road","Greenwich","2065","NSW","Northern Sydney","Northern Sydney","www.greenwichhospital.com.au","Metropolitan hospital","Public","<50","-33.827328999999999","151.18337600000001"
"Grenfell Multi Purpose Service","02 6349 1700","80-96 Cowra Road","Grenfell","2810","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-33.894286000000001","148.167843"
"Griffith Hospital","02 6969 5555","1 Noorebar Avenue","Griffith","2680","NSW","Murrumbidgee","Murrumbidgee","","Large regional hospital with an emergency department","Public","50-99","-34.282120999999997","146.04377400000001"
"Griffith Rehabilitation Hospital","08 8298 4299","13 Dunrobin Road","Hove","5048","SA","","","www.griffithrehabilitationhospital.com.au","","Private","50-99","-35.010285000000003","138.52385899999999"
"Gulargambone Multi Purpose Service","02 6827 4200","47 Bourbah Street","Gulargambone","2828","NSW","Western NSW","Western NSW","","Regional hospital","Public","<50","-31.329812","148.46921599999999"
"Gulgong Multi Purpose Service","02 6374 3400","34 Goolma Road","Gulgong","2852","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-32.3668707","149.5218927"
"Gumeracha District Soldiers' Memorial Hospital","08 8209 9200","2 Albert Street","Gumeracha","5233","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/gumerachahospital","Regional hospital","Public","<50","-34.826269000000003","138.881575"
"Gundagai Hospital","02 6940 6300","50 Tor Street","Gundagai","2722","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-35.051394000000002","148.101764"
"Gunnedah Hospital","02 6741 8000","2 Marquis Street","Gunnedah","2380","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","<50","-30.983146000000001","150.251339"
"Guyra Multi Purpose Service","02 6738 4000","44-48 Sole Street","Guyra","2365","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-30.213889000000002","151.679112"
"Gympie Hospital","07 5489 8444","12 Henry Street","Gympie","4570","Qld","Sunshine Coast","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/sunshinecoast/gympie.asp","Medium regional hospital with an emergency department","Public","50-99","-26.184353000000002","152.65825799999999"
"Gympie Private Hospital","07 5483 0500","78-82 Channon Street","Gympie","4570","Qld","","","www.pulsehealth.net.au","","Private","<50","-26.184391999999999","152.66419099999999"
"Halls Creek Hospital","08 9168 9222","70 Roberta Avenue","Halls Creek","6770","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=74","Regional hospital","Public","<50","-18.226008","127.66604599999999"
"Hampstead Rehabilitation Centre","08 8222 1600","207-255 Hampstead Road","Northfield","5085","SA","Central Adelaide","Adelaide","","Specialist rehabilitation hospital","Public","100-199","-34.860703999999998","138.62038100000001"
"Harvey Hospital","08 9782 2222","42 Hayward Street","Harvey","6220","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=75","Regional hospital","Public","<50","-33.077553999999999","115.896749"
"Hawker Memorial Hospital","08 8648 4007","Cradock Road","Hawker","5434","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/hawkerhospital","Regional hospital","Public","<50","-31.893388999999999","138.427841"
"Hawkesbury Hospital","02 4560 5555","2 Day Street","Windsor","2756","NSW","Nepean Blue Mountains","Nepean Blue Mountains","","Medium metropolitan hospital with an emergency department","Public","50-99","-33.610711999999999","150.82080400000001"
"Hay Hospital","02 6990 8700","351 Murray Street","Hay","2711","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-34.500349","144.85143299999999"
"Healesville Hospital and Yarra Valley Health","03 5962 4300","377 Maroondah Highway","Healesville","3777","Vic","Eastern Health (Vic)","Eastern Melbourne","https://www.easternhealth.org.au/locations/healesville-hospital-and-yarra-valley-health","Small hospital","Public","<50","-37.646878999999998","145.529032"
"Healthscope Independence Services","03 8551 8888","13 Corporate Drive","Moorabbin","3189","Vic","","","http://healthscopeindependenceservices.com.au","","Private","","-37.947817999999998","145.08117200000001"
"HealthWest (West Coast District Hospital at Queenstown)","03 6471 3300","Orr Street","Queenstown","7467","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/healthwest_-_west_coast_district_hospital_at_queenstown","Regional hospital","Public","<50","-42.081122000000001","145.558303"
"Heathcote Health","03 5431 0900","39 Hospital Street","Heathcote","3523","Vic","Heathcote Health","Murray","","Regional hospital","Public","<50","-36.925786000000002","144.70949899999999"
"Hedland Health Campus","08 9174 1410","34 Colebatch Way","South Hedland","6722","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=152","Small hospital with an emergency department","Public","50-99","-20.413540999999999","118.598178"
"Heidelberg Endoscopy & Day Surgery Centre","03 9458 2200","177-179 Northern Road","Heidelberg Heights","3081","Vic","","","","","Private","<50","-37.730589000000002","145.060271"
"Heidelberg Repatriation Hospital [Heidelberg West]","03 9496 5000","300 Waterdale Road","Heidelberg West","3081","Vic","Austin Health (Vic)","Eastern Melbourne","www.austin.org.au","Small hospital","Public","100-199","-37.755972999999997","145.04749000000001"
"Henty Multi Purpose Service","02 6929 4999","7 Keighran Street","Henty","2658","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-35.515801000000003","147.031847"
"Herberton Hospital","07 4096 1000","23 Grace Street","Herberton","4887","Qld","Cairns and Hinterland","Northern Queensland","www.health.qld.gov.au/services/cairns-hinterland/cairns_herberton_hosp.asp","Regional hospital","Public","<50","-17.379370999999999","145.38175000000001"
"Hervey Bay Hospital","07 4120 6666","Corner of Nissen and Uraween Roads","Pialba","4655","Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-herveybay.asp","Large regional hospital with an emergency department","Public","100-199","-25.298697000000001","152.820639"
"Hervey Bay Surgical Hospital","07 4194 4000","146-150 Boat Harbour Drive","Pialba","4655","Qld","","","","","Private","<50","-25.287202000000001","152.83465100000001"
"Hesse Rural Health Service [Winchelsea]","03 5267 1200","8 Gosney Street","Winchelsea","3241","Vic","Hesse Rural Health Service (Winchelsea)","Western Victoria","","Regional hospital","Public","<50","-38.243369000000001","143.98535699999999"
"Heywood Rural Health","03 5527 0555","21 Barclay Street","Heywood","3304","Vic","Heywood Rural Health","Western Victoria","www.heywoodruralhealth.com.au","Regional hospital","Public","<50","-38.137788","141.624256"
"Hillcrest Rockhampton Private Hospital","07 4932 1321","4 Talford Street","Rockhampton","4700","Qld","","","www.hillcrestprivate.com.au/","","Private","50-99","-23.377594999999999","150.49607599999999"
"Hillston Hospital","02 6961 7200","48C Burns Street","Hillston","2675","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-33.478793000000003","145.53903199999999"
"Hobart Private Hospital","03 6214 3000","Argyle Street","Hobart","7000","Tas","","","www.hobartprivatehospital.com.au","","Private","100-199","-42.880752000000001","147.32988599999999"
"Hobsons Bay Endoscopy Centre Altona","03 9398 8800","Corner of Queen and Sargood Streets","Altona","3018","Vic","","","hobsonsbayendoscopy.com.au","","Private","","-37.869447999999998","144.82849400000001"
"Hobsons Bay Endoscopy Centre Sydenham","03 8361 6400","566 Melton Highway","Sydenham","3037","Vic","","","hobsonsbayendoscopy.com.au","","Private","","-37.693365","144.75867700000001"
"Hobsons Bay Endoscopy Centre Werribee","03 9731 8000","179 Princes Highway","Werribee","3030","Vic","","","hobsonsbayendoscopy.com.au","","Private","","-37.890649000000003","144.68649400000001"
"Holbrook Hospital","02 6036 2522","Bowler Street","Holbrook","2644","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-35.723990999999998","147.32027600000001"
"Hollywood Private Hospital","08 9346 6000","Monash Avenue","Nedlands","6009","WA","","","www.hollywoodprivate.com.au","","Private",">500","-31.969692999999999","115.80914799999999"
"Holmesglen Private Hospital","03 9567 9000","490 South Road","Moorabbin","3189","Vic","","","www.holmesglenprivatehospital.com.au","","Private","100-199","-37.935738000000001","145.05058099999999"
"Holy Spirit Northside Private Hospital","07 3326 3000","627 Rode Road","Chermside","4032","Qld","","","hsnph.org.au","","Private","200-500","-27.390688000000001","153.022728"
"Home Hill Hospital","07 4790 5700","Tenth Avenue","Home Hill","4806","Qld","Townsville","Northern Queensland","www.health.qld.gov.au/services/townsville/tville_hhill_hosp.asp","Regional hospital","Public","<50","-19.661764000000002","147.41675900000001"
"Hopewell Hospice","07 5563 2930","88 Allied Drive","Arundel","4214","Qld","","","www.hopewell.org.au","","Private","<50","-27.938980999999998","153.380619"
"Hornsby Ku-ring-gai Hospital","02 9477 9123","36-76 Palmerston Road","Hornsby","2077","NSW","Northern Sydney","Northern Sydney","www.nslhd.health.nsw.gov.au/hospitals/hornsby/","Large metropolitan hospital with an emergency department","Public","200-500","-33.701447999999999","151.11294100000001"
"Hughenden Hospital","07 4741 2800","14 Richmond Hill Drive","Hughenden","4821","Qld","Townsville","Northern Queensland","www.health.qld.gov.au/services/townsville/tville_hugh_hc.asp","Regional hospital","Public","<50","-20.842400000000001","144.1892"
"Hunter New England Mater Mental Health Service","02 4033 5000","Edith Street","Waratah","2298","NSW","Hunter New England","Hunter New England and Central Coast","","Specialist psychiatric hospital","Public","100-199","-32.897872700000001","151.72066899999999"
"Hunter Valley Private Hospital","02 4944 3744","20 Mawson Street","Shortland","2307","NSW","","","www.hvph.com.au","","Private","50-99","-32.883085000000001","151.695054"
"Hunters Hill Private Hospital","02 8876 9300","9 Mount Street","Hunters Hill","2110","NSW","","","www.huntershillprivate.com.au","","Private","<50","-33.835273000000001","151.150172"
"Huon Eldercare","03 6264 7100","3278 Huon Highway","Franklin","7113","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/community_health_centre_-_huon","Regional hospital","Public","<50","-43.080869","147.01638199999999"
"Hurstville Private","02 9579 7777","37 Gloucester Road","Hurstville","2220","NSW","","","www.hurstvilleprivate.com.au","","Private","100-199","-33.962333000000001","151.095989"
"Illawarra Mental Health Services","","","","2500","NSW","Illawarra Shoalhaven","South Eastern NSW","","Metropolitan hospital","Public","<50","-34.426229999999997","150.89125200000001"
"Ingham Hospital","07 4720 3000","2-16 Mcilwraith Street","Ingham","4850","Qld","Townsville","Northern Queensland","www.health.qld.gov.au/services/townsville/tville_ingham_hs.asp","Regional hospital","Public","<50","-18.652293","146.164222"
"Inglewood & District Health Service","03 5431 7000","3 Hospital Street","Inglewood","3517","Vic","Inglewood and District Health Service","Murray","","Regional hospital","Public","<50","-36.572147000000001","143.87375499999999"
"Inglewood Hospital","07 4652 0888","Cunningham Highway","Inglewood","4387","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-inglewood-hs.asp","Regional hospital","Public","<50","-28.417647219999999","151.0618556"
"Injune Hospital","07 4626 1188","Fifth Avenue","Injune","4454","Qld","South West (Qld)","Western Queensland","www.health.qld.gov.au/services/southwest/swest_injune_hosp.asp","Regional hospital","Public","<50","-25.847096000000001","148.56247099999999"
"Innisfail Hospital","07 4016 1411","87 Rankin Street","Innisfail","4860","Qld","Cairns and Hinterland","Northern Queensland","www.health.qld.gov.au/services/cairns-hinterland/cairns_innis_hosp.asp","Small hospital","Public","<50","-17.518939","146.03004899999999"
