"Hospital","State","Peer group","Time period","Type of case","Proxy reporting","Cases","Patient days under surveillance","Rate per 10,000 patient days","","Peer group average"
"Orange Health Service","NSW","Large hospitals","2017–18","MSSA","","2","105926","0.19","","0.56"
"Pambula Hospital","NSW","Unpeered","2010–11","Total","","0","8185","0","","Not peered"
"Pambula Hospital","NSW","Unpeered","2011–12","Total","","1","6830","1.46","","Not peered"
"Pambula Hospital","NSW","Unpeered","2012–13","Total","","2","7885","2.54","","Not peered"
"Pambula Hospital","NSW","Unpeered","2013–14","Total","","0","7849","0","","Not peered"
"Pambula Hospital","NSW","Unpeered","2014–15","Total","","0","7421","0","","Not peered"
"Pambula Hospital","NSW","Unpeered","2015–16","Total","","0","5571","0","","Not peered"
"Pambula Hospital","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Pambula Hospital","NSW","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Pambula Hospital","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Pambula Hospital","NSW","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Pambula Hospital","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Pambula Hospital","NSW","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Peak Hill Multipurpose Service","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Peak Hill Multipurpose Service","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Peak Hill Multipurpose Service","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Peak Hill Multipurpose Service","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Peak Hill Multipurpose Service","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Peak Hill Multipurpose Service","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Peak Hill Multipurpose Service","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Peak Hill Multipurpose Service","NSW","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Peak Hill Multipurpose Service","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Peak Hill Multipurpose Service","NSW","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Peak Hill Multipurpose Service","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Peak Hill Multipurpose Service","NSW","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Port Kembla Hospital","NSW","Unpeered","2010–11","Total","","0","18664","0","","Not peered"
"Port Kembla Hospital","NSW","Unpeered","2011–12","Total","","0","18907","0","","Not peered"
"Port Kembla Hospital","NSW","Unpeered","2012–13","Total","","0","19256","0","","Not peered"
"Port Kembla Hospital","NSW","Unpeered","2013–14","Total","","0","20072","0","","Not peered"
"Port Kembla Hospital","NSW","Unpeered","2014–15","Total","","1","19907","0.50","","Not peered"
"Port Kembla Hospital","NSW","Unpeered","2015–16","Total","","2","20026","1","","Not peered"
"Port Kembla Hospital","NSW","Unpeered","2016–17","Total","","1","19889","0.50","","Not peered"
"Port Kembla Hospital","NSW","Unpeered","2017–18","Total","","0","19486","0","","Not peered"
"Port Kembla Hospital","NSW","Unpeered","2016–17","MRSA","","1","19889","0.50","","Not peered"
"Port Kembla Hospital","NSW","Unpeered","2017–18","MRSA","","0","19486","0","","Not peered"
"Port Kembla Hospital","NSW","Unpeered","2016–17","MSSA","","0","19889","0","","Not peered"
"Port Kembla Hospital","NSW","Unpeered","2017–18","MSSA","","0","19486","0","","Not peered"
"Port Macquarie Hospital","NSW","Large hospitals","2010–11","Total","","6","67217","0.89","","1"
"Port Macquarie Hospital","NSW","Large hospitals","2011–12","Total","","9","68854","1.31","","0.93"
"Port Macquarie Hospital","NSW","Large hospitals","2012–13","Total","","17","73091","2.33","","0.97"
"Port Macquarie Hospital","NSW","Large hospitals","2013–14","Total","","10","78190","1.28","","0.85"
"Port Macquarie Hospital","NSW","Large hospitals","2014–15","Total","","2","80119","0.25","","0.80"
"Port Macquarie Hospital","NSW","Large hospitals","2015–16","Total","","6","84422","0.71","","0.68"
"Port Macquarie Hospital","NSW","Large hospitals","2016–17","Total","","5","94770","0.53","","0.73"
"Port Macquarie Hospital","NSW","Large hospitals","2017–18","Total","","4","100267","0.40","","0.67"
"Port Macquarie Hospital","NSW","Large hospitals","2016–17","MRSA","","2","94770","0.21","","0.14"
"Port Macquarie Hospital","NSW","Large hospitals","2017–18","MRSA","","2","100267","0.20","","0.10"
"Port Macquarie Hospital","NSW","Large hospitals","2016–17","MSSA","","3","94770","0.32","","0.60"
"Port Macquarie Hospital","NSW","Large hospitals","2017–18","MSSA","","2","100267","0.20","","0.56"
"Portland Hospital","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Portland Hospital","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Portland Hospital","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Portland Hospital","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Portland Hospital","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Portland Hospital","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Portland Hospital","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Portland Hospital","NSW","Unpeered","2017–18","Total","","0","7939","0","","Not peered"
"Portland Hospital","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Portland Hospital","NSW","Unpeered","2017–18","MRSA","","0","7939","0","","Not peered"
"Portland Hospital","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Portland Hospital","NSW","Unpeered","2017–18","MSSA","","0","7939","0","","Not peered"
"Prince of Wales Hospital","NSW","Major hospitals","2010–11","Total","","24","191739","1.25","","1.63"
"Prince of Wales Hospital","NSW","Major hospitals","2011–12","Total","","39","193962","2.01","","1.41"
"Prince of Wales Hospital","NSW","Major hospitals","2012–13","Total","","31","188100","1.65","","1.36"
"Prince of Wales Hospital","NSW","Major hospitals","2013–14","Total","","26","186362","1.40","","1.32"
"Prince of Wales Hospital","NSW","Major hospitals","2014–15","Total","","14","190072","0.74","","1.12"
"Prince of Wales Hospital","NSW","Major hospitals","2015–16","Total","","10","189016","0.53","","1.02"
"Prince of Wales Hospital","NSW","Major hospitals","2016–17","Total","","11","190298","0.58","","1.08"
"Prince of Wales Hospital","NSW","Major hospitals","2017–18","Total","","14","187940","0.74","","1"
"Prince of Wales Hospital","NSW","Major hospitals","2016–17","MRSA","","2","190298","0.11","","0.21"
"Prince of Wales Hospital","NSW","Major hospitals","2017–18","MRSA","","3","187940","0.16","","0.18"
"Prince of Wales Hospital","NSW","Major hospitals","2016–17","MSSA","","9","190298","0.47","","0.87"
"Prince of Wales Hospital","NSW","Major hospitals","2017–18","MSSA","","11","187940","0.59","","0.81"
"Queanbeyan Hospital","NSW","Unpeered","2010–11","Total","","0","12950","0","","Not peered"
"Queanbeyan Hospital","NSW","Unpeered","2011–12","Total","","1","14267","0.70","","Not peered"
"Queanbeyan Hospital","NSW","Unpeered","2012–13","Total","","1","15587","0.64","","Not peered"
"Queanbeyan Hospital","NSW","Unpeered","2013–14","Total","","0","16173","0","","Not peered"
"Queanbeyan Hospital","NSW","Unpeered","2014–15","Total","","0","16904","0","","Not peered"
"Queanbeyan Hospital","NSW","Unpeered","2015–16","Total","","0","18281","0","","Not peered"
"Queanbeyan Hospital","NSW","Unpeered","2016–17","Total","","1","18512","0.54","","Not peered"
"Queanbeyan Hospital","NSW","Unpeered","2017–18","Total","","1","16051","0.62","","Not peered"
"Queanbeyan Hospital","NSW","Unpeered","2016–17","MRSA","","0","18512","0","","Not peered"
"Queanbeyan Hospital","NSW","Unpeered","2017–18","MRSA","","0","16051","0","","Not peered"
"Queanbeyan Hospital","NSW","Unpeered","2016–17","MSSA","","1","18512","0.54","","Not peered"
"Queanbeyan Hospital","NSW","Unpeered","2017–18","MSSA","","1","16051","0.62","","Not peered"
"Quirindi Hospital","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Quirindi Hospital","NSW","Unpeered","2011–12","Total","","1","<5,000","NP","","Not peered"
"Quirindi Hospital","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Quirindi Hospital","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Quirindi Hospital","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Quirindi Hospital","NSW","Unpeered","2015–16","Total","","1","<5,000","NP","","Not peered"
"Quirindi Hospital","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Quirindi Hospital","NSW","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Quirindi Hospital","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Quirindi Hospital","NSW","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Quirindi Hospital","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Quirindi Hospital","NSW","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Riverlands Drug and Alcohol Centre","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Riverlands Drug and Alcohol Centre","NSW","Unpeered","2011–12","Total","",NA,NA,NA,"","Not peered"
"Riverlands Drug and Alcohol Centre","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Riverlands Drug and Alcohol Centre","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Riverlands Drug and Alcohol Centre","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Riverlands Drug and Alcohol Centre","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Riverlands Drug and Alcohol Centre","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Riverlands Drug and Alcohol Centre","NSW","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Riverlands Drug and Alcohol Centre","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Riverlands Drug and Alcohol Centre","NSW","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Riverlands Drug and Alcohol Centre","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Riverlands Drug and Alcohol Centre","NSW","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Royal Hospital for Women","NSW","Unpeered","2010–11","Total","","2","37389","0.53","","Not peered"
"Royal Hospital for Women","NSW","Unpeered","2011–12","Total","","2","36711","0.54","","Not peered"
"Royal Hospital for Women","NSW","Unpeered","2012–13","Total","","1","36290","0.28","","Not peered"
"Royal Hospital for Women","NSW","Unpeered","2013–14","Total","","2","37246","0.54","","Not peered"
"Royal Hospital for Women","NSW","Unpeered","2014–15","Total","","5","35632","1.40","","Not peered"
"Royal Hospital for Women","NSW","Unpeered","2015–16","Total","","2","35627","0.56","","Not peered"
"Royal Hospital for Women","NSW","Unpeered","2016–17","Total","","4","35575","1.12","","Not peered"
"Royal Hospital for Women","NSW","Unpeered","2017–18","Total","","2","47619","0.42","","Not peered"
"Royal Hospital for Women","NSW","Unpeered","2016–17","MRSA","","1","35575","0.28","","Not peered"
"Royal Hospital for Women","NSW","Unpeered","2017–18","MRSA","","0","47619","0","","Not peered"
"Royal Hospital for Women","NSW","Unpeered","2016–17","MSSA","","3","35575","0.84","","Not peered"
"Royal Hospital for Women","NSW","Unpeered","2017–18","MSSA","","2","47619","0.42","","Not peered"
"Royal North Shore Hospital","NSW","Major hospitals","2010–11","Total","","37","206494","1.79","","1.63"
"Royal North Shore Hospital","NSW","Major hospitals","2011–12","Total","","33","209737","1.57","","1.41"
"Royal North Shore Hospital","NSW","Major hospitals","2012–13","Total","","37","223508","1.66","","1.36"
"Royal North Shore Hospital","NSW","Major hospitals","2013–14","Total","","29","234012","1.24","","1.32"
"Royal North Shore Hospital","NSW","Major hospitals","2014–15","Total","","23","243639","0.94","","1.12"
"Royal North Shore Hospital","NSW","Major hospitals","2015–16","Total","","18","263008","0.68","","1.02"
"Royal North Shore Hospital","NSW","Major hospitals","2016–17","Total","","29","277900","1.04","","1.08"
"Royal North Shore Hospital","NSW","Major hospitals","2017–18","Total","","27","300358","0.90","","1"
"Royal North Shore Hospital","NSW","Major hospitals","2016–17","MRSA","","10","277900","0.36","","0.21"
"Royal North Shore Hospital","NSW","Major hospitals","2017–18","MRSA","","6","300358","0.20","","0.18"
"Royal North Shore Hospital","NSW","Major hospitals","2016–17","MSSA","","19","277900","0.68","","0.87"
"Royal North Shore Hospital","NSW","Major hospitals","2017–18","MSSA","","21","300358","0.70","","0.81"
"Royal Prince Alfred Hospital","NSW","Major hospitals","2010–11","Total","","40","255891","1.56","","1.63"
"Royal Prince Alfred Hospital","NSW","Major hospitals","2011–12","Total","","27","256375","1.05","","1.41"
"Royal Prince Alfred Hospital","NSW","Major hospitals","2012–13","Total","","26","257093","1.01","","1.36"
"Royal Prince Alfred Hospital","NSW","Major hospitals","2013–14","Total","","34","265263","1.28","","1.32"
"Royal Prince Alfred Hospital","NSW","Major hospitals","2014–15","Total","","27","268892","1","","1.12"
"Royal Prince Alfred Hospital","NSW","Major hospitals","2015–16","Total","Includes data for Royal Prince Alfred Institute of Rheumatology & Orthopaedics","38","270474","1.40","","1.02"
"Royal Prince Alfred Hospital","NSW","Major hospitals","2016–17","Total","Includes data for Royal Prince Alfred Institute of Rheumatology & Orthopaedics","28","289498","0.97","","1.08"
"Royal Prince Alfred Hospital","NSW","Major hospitals","2017–18","Total","Includes data for Royal Prince Alfred Institute of Rheumatology & Orthopaedics","38","317575","1.20","","1"
"Royal Prince Alfred Hospital","NSW","Major hospitals","2016–17","MRSA","Includes data for Royal Prince Alfred Institute of Rheumatology & Orthopaedics","5","289498","0.17","","0.21"
"Royal Prince Alfred Hospital","NSW","Major hospitals","2017–18","MRSA","Includes data for Royal Prince Alfred Institute of Rheumatology & Orthopaedics","8","317575","0.25","","0.18"
"Royal Prince Alfred Hospital","NSW","Major hospitals","2016–17","MSSA","Includes data for Royal Prince Alfred Institute of Rheumatology & Orthopaedics","23","289498","0.79","","0.87"
"Royal Prince Alfred Hospital","NSW","Major hospitals","2017–18","MSSA","Includes data for Royal Prince Alfred Institute of Rheumatology & Orthopaedics","30","317575","0.94","","0.81"
"Royal Prince Alfred Institute of Rheumatology & Orthopaedics","NSW","Unpeered","2010–11","Total","","0","5924","0","","Not peered"
"Royal Prince Alfred Institute of Rheumatology & Orthopaedics","NSW","Unpeered","2011–12","Total","","0","5675","0","","Not peered"
"Royal Prince Alfred Institute of Rheumatology & Orthopaedics","NSW","Unpeered","2012–13","Total","","0","5504","0","","Not peered"
"Royal Prince Alfred Institute of Rheumatology & Orthopaedics","NSW","Unpeered","2013–14","Total","","0","5360","0","","Not peered"
"Royal Prince Alfred Institute of Rheumatology & Orthopaedics","NSW","Unpeered","2014–15","Total","","0","5312","0","","Not peered"
"Royal Prince Alfred Institute of Rheumatology & Orthopaedics","NSW","Unpeered","2015–16","Total","Data reported under Royal Prince Alfred Hospital","-","-","-","","-"
"Royal Prince Alfred Institute of Rheumatology & Orthopaedics","NSW","Unpeered","2016–17","Total","Data reported under Royal Prince Alfred Hospital","-","-","-","","-"
"Royal Prince Alfred Institute of Rheumatology & Orthopaedics","NSW","Unpeered","2017–18","Total","Data reported under Royal Prince Alfred Hospital","-","-","-","","-"
"Royal Prince Alfred Institute of Rheumatology & Orthopaedics","NSW","Unpeered","2016–17","MRSA","Data reported under Royal Prince Alfred Hospital","-","-","-","","-"
"Royal Prince Alfred Institute of Rheumatology & Orthopaedics","NSW","Unpeered","2017–18","MRSA","Data reported under Royal Prince Alfred Hospital","-","-","-","","-"
"Royal Prince Alfred Institute of Rheumatology & Orthopaedics","NSW","Unpeered","2016–17","MSSA","Data reported under Royal Prince Alfred Hospital","-","-","-","","-"
"Royal Prince Alfred Institute of Rheumatology & Orthopaedics","NSW","Unpeered","2017–18","MSSA","Data reported under Royal Prince Alfred Hospital","-","-","-","","-"
"Royal Rehabilitation Hospital","NSW","Unpeered","2010–11","Total","","0","19764","0","","Not peered"
"Royal Rehabilitation Hospital","NSW","Unpeered","2011–12","Total","","0","18093","0","","Not peered"
"Royal Rehabilitation Hospital","NSW","Unpeered","2012–13","Total","","0","17490","0","","Not peered"
"Royal Rehabilitation Hospital","NSW","Unpeered","2013–14","Total","","0","15913","0","","Not peered"
"Royal Rehabilitation Hospital","NSW","Unpeered","2014–15","Total","","0","18840","0","","Not peered"
"Royal Rehabilitation Hospital","NSW","Unpeered","2015–16","Total","","0","21086","0","","Not peered"
"Royal Rehabilitation Hospital","NSW","Unpeered","2016–17","Total","","0","22186","0","","Not peered"
"Royal Rehabilitation Hospital","NSW","Unpeered","2017–18","Total","","0","21744","0","","Not peered"
"Royal Rehabilitation Hospital","NSW","Unpeered","2016–17","MRSA","","0","22186","0","","Not peered"
"Royal Rehabilitation Hospital","NSW","Unpeered","2017–18","MRSA","","0","21744","0","","Not peered"
"Royal Rehabilitation Hospital","NSW","Unpeered","2016–17","MSSA","","0","22186","0","","Not peered"
"Royal Rehabilitation Hospital","NSW","Unpeered","2017–18","MSSA","","0","21744","0","","Not peered"
"Ryde Hospital","NSW","Medium hospitals","2010–11","Total","","5","45008","1.11","","0.68"
"Ryde Hospital","NSW","Medium hospitals","2011–12","Total","","2","42229","0.47","","0.50"
"Ryde Hospital","NSW","Medium hospitals","2012–13","Total","","1","43402","0.23","","0.63"
"Ryde Hospital","NSW","Medium hospitals","2013–14","Total","","6","51393","1.17","","0.47"
"Ryde Hospital","NSW","Medium hospitals","2014–15","Total","","4","56927","0.70","","0.42"
"Ryde Hospital","NSW","Medium hospitals","2015–16","Total","","5","58947","0.85","","0.51"
"Ryde Hospital","NSW","Medium hospitals","2016–17","Total","","1","57913","0.17","","0.49"
"Ryde Hospital","NSW","Medium hospitals","2017–18","Total","","1","57486","0.17","","0.55"
"Ryde Hospital","NSW","Medium hospitals","2016–17","MRSA","","1","57913","0.17","","0.08"
"Ryde Hospital","NSW","Medium hospitals","2017–18","MRSA","","0","57486","0","","0.11"
"Ryde Hospital","NSW","Medium hospitals","2016–17","MSSA","","0","57913","0","","0.42"
"Ryde Hospital","NSW","Medium hospitals","2017–18","MSSA","","1","57486","0.17","","0.44"
"Rylstone Multi Purpose Service","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Rylstone Multi Purpose Service","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Rylstone Multi Purpose Service","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Rylstone Multi Purpose Service","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Rylstone Multi Purpose Service","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Rylstone Multi Purpose Service","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Rylstone Multi Purpose Service","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Rylstone Multi Purpose Service","NSW","Unpeered","2017–18","Total","","0","6695","0","","Not peered"
"Rylstone Multi Purpose Service","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Rylstone Multi Purpose Service","NSW","Unpeered","2017–18","MRSA","","0","6695","0","","Not peered"
"Rylstone Multi Purpose Service","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Rylstone Multi Purpose Service","NSW","Unpeered","2017–18","MSSA","","0","6695","0","","Not peered"
"Sacred Heart Hospice","NSW","Unpeered","2010–11","Total","","0","21910","0","","Not peered"
"Sacred Heart Hospice","NSW","Unpeered","2011–12","Total","","0","22715","0","","Not peered"
"Sacred Heart Hospice","NSW","Unpeered","2012–13","Total","","0","22705","0","","Not peered"
"Sacred Heart Hospice","NSW","Unpeered","2013–14","Total","",NA,NA,NA,"","Not peered"
"Scone Hospital","NSW","Unpeered","2010–11","Total","","1","6223","1.61","","Not peered"
"Scone Hospital","NSW","Unpeered","2011–12","Total","","0","5415","0","","Not peered"
"Scone Hospital","NSW","Unpeered","2012–13","Total","","1","5283","1.89","","Not peered"
"Scone Hospital","NSW","Unpeered","2013–14","Total","","0","5265","0","","Not peered"
"Scone Hospital","NSW","Unpeered","2014–15","Total","","0","5499","0","","Not peered"
"Scone Hospital","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Scone Hospital","NSW","Unpeered","2016–17","Total","","1","5469","1.83","","Not peered"
"Scone Hospital","NSW","Unpeered","2017–18","Total","","0","5279","0","","Not peered"
"Scone Hospital","NSW","Unpeered","2016–17","MRSA","","0","5469","0","","Not peered"
"Scone Hospital","NSW","Unpeered","2017–18","MRSA","","0","5279","0","","Not peered"
"Scone Hospital","NSW","Unpeered","2016–17","MSSA","","1","5469","1.83","","Not peered"
"Scone Hospital","NSW","Unpeered","2017–18","MSSA","","0","5279","0","","Not peered"
"Shellharbour Hospital","NSW","Medium hospitals","2010–11","Total","","5","62198","0.80","","0.68"
"Shellharbour Hospital","NSW","Medium hospitals","2011–12","Total","","2","65199","0.31","","0.50"
"Shellharbour Hospital","NSW","Medium hospitals","2012–13","Total","","5","62710","0.80","","0.63"
"Shellharbour Hospital","NSW","Medium hospitals","2013–14","Total","","2","60426","0.33","","0.47"
"Shellharbour Hospital","NSW","Medium hospitals","2014–15","Total","","4","58285","0.69","","0.42"
"Shellharbour Hospital","NSW","Medium hospitals","2015–16","Total","","5","59045","0.85","","0.51"
"Shellharbour Hospital","NSW","Medium hospitals","2016–17","Total","","2","64056","0.31","","0.49"
"Shellharbour Hospital","NSW","Medium hospitals","2017–18","Total","","4","61297","0.65","","0.55"
"Shellharbour Hospital","NSW","Medium hospitals","2016–17","MRSA","","2","64056","0.31","","0.08"
"Shellharbour Hospital","NSW","Medium hospitals","2017–18","MRSA","","1","61297","0.16","","0.11"
"Shellharbour Hospital","NSW","Medium hospitals","2016–17","MSSA","","0","64056","0","","0.42"
"Shellharbour Hospital","NSW","Medium hospitals","2017–18","MSSA","","3","61297","0.49","","0.44"
"Shoalhaven Hospital","NSW","Large hospitals","2010–11","Total","","2","57956","0.35","","1"
"Shoalhaven Hospital","NSW","Large hospitals","2011–12","Total","","1","58644","0.17","","0.93"
"Shoalhaven Hospital","NSW","Large hospitals","2012–13","Total","","6","57152","1.05","","0.97"
"Shoalhaven Hospital","NSW","Large hospitals","2013–14","Total","","4","53309","0.75","","0.85"
"Shoalhaven Hospital","NSW","Large hospitals","2014–15","Total","","2","58290","0.34","","0.80"
"Shoalhaven Hospital","NSW","Large hospitals","2015–16","Total","","7","62401","1.12","","0.68"
"Shoalhaven Hospital","NSW","Large hospitals","2016–17","Total","","4","61811","0.65","","0.73"
"Shoalhaven Hospital","NSW","Large hospitals","2017–18","Total","","5","63608","0.79","","0.67"
"Shoalhaven Hospital","NSW","Large hospitals","2016–17","MRSA","","2","61811","0.32","","0.14"
"Shoalhaven Hospital","NSW","Large hospitals","2017–18","MRSA","","2","63608","0.31","","0.10"
"Shoalhaven Hospital","NSW","Large hospitals","2016–17","MSSA","","2","61811","0.32","","0.60"
"Shoalhaven Hospital","NSW","Large hospitals","2017–18","MSSA","","3","63608","0.47","","0.56"
"Singleton Hospital","NSW","Unpeered","2010–11","Total","","0","10449","0","","Not peered"
"Singleton Hospital","NSW","Unpeered","2011–12","Total","","3","10166","2.95","","Not peered"
"Singleton Hospital","NSW","Unpeered","2012–13","Total","","1","10473","0.95","","Not peered"
"Singleton Hospital","NSW","Unpeered","2013–14","Total","","2","10137","1.97","","Not peered"
"Singleton Hospital","NSW","Unpeered","2014–15","Total","","0","10145","0","","Not peered"
"Singleton Hospital","NSW","Unpeered","2015–16","Total","","1","10219","0.98","","Not peered"
"Singleton Hospital","NSW","Unpeered","2016–17","Total","","0","10137","0","","Not peered"
"Singleton Hospital","NSW","Unpeered","2017–18","Total","","0","9878","0","","Not peered"
"Singleton Hospital","NSW","Unpeered","2016–17","MRSA","","0","10137","0","","Not peered"
"Singleton Hospital","NSW","Unpeered","2017–18","MRSA","","0","9878","0","","Not peered"
"Singleton Hospital","NSW","Unpeered","2016–17","MSSA","","0","10137","0","","Not peered"
"Singleton Hospital","NSW","Unpeered","2017–18","MSSA","","0","9878","0","","Not peered"
"South East Regional Hospital","NSW","Medium hospitals","2010–11","Total","","2","21603","0.93","","0.68"
"South East Regional Hospital","NSW","Medium hospitals","2011–12","Total","","1","22763","0.44","","0.50"
"South East Regional Hospital","NSW","Medium hospitals","2012–13","Total","","1","22897","0.44","","0.63"
"South East Regional Hospital","NSW","Medium hospitals","2013–14","Total","","3","23859","1.26","","0.47"
"South East Regional Hospital","NSW","Medium hospitals","2014–15","Total","","1","23470","0.43","","0.42"
"South East Regional Hospital","NSW","Medium hospitals","2015–16","Total","","0","24516","0","","0.51"
"South East Regional Hospital","NSW","Medium hospitals","2016–17","Total","","3","30596","0.98","","0.49"
"South East Regional Hospital","NSW","Medium hospitals","2017–18","Total","","1","34364","0.29","","0.55"
"South East Regional Hospital","NSW","Medium hospitals","2016–17","MRSA","","0","30596","0","","0.08"
"South East Regional Hospital","NSW","Medium hospitals","2017–18","MRSA","","0","34364","0","","0.11"
"South East Regional Hospital","NSW","Medium hospitals","2016–17","MSSA","","3","30596","0.98","","0.42"
"South East Regional Hospital","NSW","Medium hospitals","2017–18","MSSA","","1","34364","0.29","","0.44"
"Springwood Hospital","NSW","Unpeered","2010–11","Total","","0","9792","0","","Not peered"
"Springwood Hospital","NSW","Unpeered","2011–12","Total","","1","10166","0.98","","Not peered"
"Springwood Hospital","NSW","Unpeered","2012–13","Total","","0","10097","0","","Not peered"
"Springwood Hospital","NSW","Unpeered","2013–14","Total","","0","10250","0","","Not peered"
"Springwood Hospital","NSW","Unpeered","2014–15","Total","","0","10297","0","","Not peered"
"Springwood Hospital","NSW","Unpeered","2015–16","Total","","0","10323","0","","Not peered"
"Springwood Hospital","NSW","Unpeered","2016–17","Total","","0","10036","0","","Not peered"
"Springwood Hospital","NSW","Unpeered","2017–18","Total","","0","9598","0","","Not peered"
"Springwood Hospital","NSW","Unpeered","2016–17","MRSA","","0","10036","0","","Not peered"
"Springwood Hospital","NSW","Unpeered","2017–18","MRSA","","0","9598","0","","Not peered"
"Springwood Hospital","NSW","Unpeered","2016–17","MSSA","","0","10036","0","","Not peered"
"Springwood Hospital","NSW","Unpeered","2017–18","MSSA","","0","9598","0","","Not peered"
"St George Hospital NSW","NSW","Major hospitals","2010–11","Total","","32","201605","1.59","","1.63"
"St George Hospital NSW","NSW","Major hospitals","2011–12","Total","","45","207899","2.16","","1.41"
"St George Hospital NSW","NSW","Major hospitals","2012–13","Total","","31","207594","1.49","","1.36"
"St George Hospital NSW","NSW","Major hospitals","2013–14","Total","","31","208809","1.48","","1.32"
"St George Hospital NSW","NSW","Major hospitals","2014–15","Total","","37","212637","1.74","","1.12"
"St George Hospital NSW","NSW","Major hospitals","2015–16","Total","","21","211521","0.99","","1.02"
"St George Hospital NSW","NSW","Major hospitals","2016–17","Total","","26","221526","1.17","","1.08"
"St George Hospital NSW","NSW","Major hospitals","2017–18","Total","","20","223822","0.89","","1"
"St George Hospital NSW","NSW","Major hospitals","2016–17","MRSA","","9","221526","0.41","","0.21"
"St George Hospital NSW","NSW","Major hospitals","2017–18","MRSA","","2","223822","0.09","","0.18"
